,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
6233,curious george,2006-08-02,"Animation, Aventure, Comédie",1h 27min,Matthew O'Callaghan,"Ken Kaufman, Mike Werb","Will Ferrell, Frank Welker, Drew Barrymore",U.S.A.,United International Pictures (UIP),Box Office France,29701,"3,1","3,4",46534.0,50000000
6234,vive la vie,2005-10-05,Comédie,1h 38min,Yves Fajnberg,"Daniel Baroghel, Lou Inglebert","Didier Bourdon, Alexandra Lamy, Zinedine Soualem",France,Mars Distribution,Box Office France,38292,"2,3","1,7",79930.0,0
6235,pinocchio,2013-02-20,"Animation, Fantastique",1h 25min,Enzo D'Alo,"Enzo D'Alo, Umberto Marino","Gabriele Caprio, Mino Caprio, Maricla Affatato",France,Gebeka Films,Box Office France,46662,"3,4","3,1",96957.0,0
6236,cartouches gauloises,2007-08-08,Drame,1h 32min,Mehdi Charef,Mehdi Charef,"Ali Hamada, Thomas Millet, Julien Amate",France,Pathé,Box Office France,33828,"3,1","2,7",61714.0,0
6238,décalage horaire,2002-10-30,"Comédie, Romance",1h 30min,Danièle Thompson,"Danièle Thompson, Christopher Thompson","Jean Reno, Juliette Binoche, Sergi López",France,Mars Distribution,Box Office France,496630,"3,4","1,8",15847.0,0
6239,alice t.,2019-05-01,Drame,1h 45min,Radu Muntean,"Radu Muntean, Alexandru Baciu","Andra Guţi, Mihaela Sîrbu, Cristine Hambaseanu",Roumanie,Bac Films,Box Office France,2063,"2,9","3,2",157526.0,1600000
6240,drôles d'oiseaux,2017-05-31,Comédie dramatique,1h 10min,Élise Girard,Élise Girard,"Jean Sorel, Lolita Chammah, Virginie Ledoyen",France,Shellac,Box Office France,750,"3,5","2,2",149420.0,0
6241,razzhimaya kulaki,2022-02-23,Drame,1h 36min,Kira Kovalenko,"Kira Kovalenko, Anton Yarush","Milana Aguzarova, Alik Karaev, Soslan Khugaev",Russie,ARP Sélection,Box Office France,11271,"3,9","3,3",111746.0,0
6243,latte igel und der magische wasserstein,2019-12-11,"Animation, Famille",1h 29min,Nina Wels,"Regina Welker, Mimi Maynard, Andrea Deppert, Martin Behnke","Audrey D'Hulstère, Luisa Wietzorek, Arthur Dubois",Allemagne,KMBO,Box Office France,83845,"3,0","2,6",485197.0,0
6244,snezhnaya koroleva 3. ogon i led,2018-02-14,"Animation, Famille",1h 28min,Aleksey Tsitsilin,"Vladimir Nikolaev (II), Aleksey Tsitsilin","Garik Kharlamov, Ivan Okhlobystin, Olga Zubkova",Russie,La Belle Company,Box Office France,63107,"2,6","2,8",162804.0,0
6245,les beaux jours d'aranjuez,2016-11-09,Drame,1h 38min,Wim Wenders,Wim Wenders,"Reda Kateb, Sophie Semin, Jens Harzer",Allemagne,Alfama Films,Box Office France,5876,"2,5","1,3",176521.0,0
6246,l'autre vie de richard kemp,2013-06-05,"Policier, Fantastique, Thriller",1h 42min,Germinal Alvarez,"Germinal Alvarez, Nathalie Saugeon","Jean-Hugues Anglade, Mélanie Thierry, Philippe Berodot",France,Haut et Court,Box Office France,15587,"2,3","3,3",215204.0,0
6247,les nuits d'été,2015-01-28,Drame,1h 40min,Mario Fanfani,"Mario Fanfani, Gaëlle Macé","Guillaume De Tonquédec, Jeanne Balibar, Nicolas Bouchaud",France,Le Pacte,Box Office France,13091,"3,1","2,6",301624.0,0
6248,shokuzai 2,2013-06-05,Drame,2h 28min,Kiyoshi Kurosawa,Kiyoshi Kurosawa,"Kyôko Koizumi, Sakura Andô, Chizuru Ikewaki",Japon,Condor Distribution,Box Office France,13740,"4,1","3,9",17362.0,0
