Week Number,Start Date,End Date,Bordeaux,Lille,Lyon,Paris,Moyenne
16,2018-04-18,2018-04-24,19.24,16.44,19.22,17.86,17.75
16,2019-04-17,2019-04-23,16.65,14.84,17.09,16.25,16.17
16,2020-04-15,2020-04-21,16.56,12.96,16.31,15.56,15.48
16,2021-04-21,2021-04-27,16.66,9.6,15.03,14.13,14.28
16,2022-04-20,2022-04-26,12.6,11.85,12.55,12.86,13.17
16,2023-04-19,2023-04-25,14.52,9.7,13.36,10.79,12.87
17,2010-04-28,2010-05-04,13.95,12.13,15.21,11.71,14.0
17,2011-04-27,2011-05-03,16.97,13.65,14.49,12.38,14.9
17,2012-04-25,2012-05-01,12.47,11.83,14.79,12.96,13.81
17,2013-04-24,2013-04-30,14.37,10.48,11.3,9.86,12.6
17,2014-04-23,2014-04-29,13.83,12.39,12.59,11.42,13.45
17,2015-04-22,2015-04-28,15.97,10.23,16.32,12.29,14.36
17,2016-04-27,2016-05-03,10.53,8.42,9.89,8.88,10.94
17,2017-04-26,2017-05-02,12.14,8.4,8.55,9.33,11.08
17,2018-04-25,2018-05-01,11.69,11.77,13.6,10.42,12.9
17,2019-04-24,2019-04-30,12.06,11.01,11.05,9.65,12.15
17,2020-04-22,2020-04-28,15.87,11.76,17.69,16.06,15.68
17,2021-04-28,2021-05-04,12.43,8.75,11.57,9.32,11.81
17,2022-04-27,2022-05-03,14.83,13.35,13.08,11.91,14.03
17,2023-04-26,2023-05-02,15.9,11.15,14.83,13.54,14.48
18,2010-05-05,2010-05-11,11.88,8.24,10.74,9.5,11.67
18,2011-05-04,2011-05-10,19.19,16.38,17.75,16.81,17.63
18,2012-05-02,2012-05-08,16.47,10.52,13.45,13.33,14.35
18,2013-05-01,2013-05-07,16.29,12.29,13.19,11.3,14.21
18,2014-04-30,2014-05-06,12.48,11.53,13.23,12.98,13.64
18,2015-04-29,2015-05-05,15.16,13.99,16.94,13.02,15.42
18,2016-05-04,2016-05-10,16.76,19.03,17.11,16.66,17.51
18,2017-05-03,2017-05-09,14.34,10.38,12.69,10.24,13.13
18,2018-05-02,2018-05-08,13.91,15.02,19.25,12.89,15.81
18,2019-05-01,2019-05-07,10.08,8.28,10.32,10.99,11.53
18,2020-04-29,2020-05-05,16.41,10.56,14.22,12.98,14.43
18,2021-05-05,2021-05-11,15.66,11.69,14.44,12.7,14.5
18,2022-05-04,2022-05-10,16.45,15.1,16.71,16.04,16.46
18,2023-05-03,2023-05-09,18.18,12.96,18.45,14.96,16.51
19,2010-05-12,2010-05-18,13.13,8.94,11.27,10.89,12.65
19,2011-05-11,2011-05-17,17.74,12.31,16.74,14.53,16.06
19,2012-05-09,2012-05-15,19.59,12.93,15.89,15.08,16.5
19,2013-05-08,2013-05-14,14.29,11.44,14.33,13.75,14.56
19,2014-05-07,2014-05-13,13.55,11.47,13.21,13.03,14.05
19,2015-05-06,2015-05-12,17.09,16.67,15.9,13.95,16.52
19,2016-05-11,2016-05-17,12.93,15.22,13.45,13.57,14.83
19,2017-05-10,2017-05-16,18.74,18.22,14.57,17.59,17.62
19,2018-05-09,2018-05-15,14.51,11.67,13.85,14.17,14.64
19,2019-05-08,2019-05-14,15.36,10.76,14.15,11.89,14.23
19,2020-05-06,2020-05-12,16.22,15.18,16.1,13.54,16.01
19,2021-05-12,2021-05-18,12.69,11.24,12.81,11.15,13.38
19,2022-05-11,2022-05-17,21.05,18.41,21.76,18.59,19.76
19,2023-05-10,2023-05-16,13.83,12.55,13.9,12.2,14.3
20,2010-05-19,2010-05-25,20.26,16.98,16.77,19.71,18.74
20,2011-05-18,2011-05-24,19.54,15.15,21.64,18.03,18.87
20,2012-05-16,2012-05-22,14.68,11.32,13.8,12.65,14.49
20,2013-05-15,2013-05-21,12.06,10.3,12.15,11.64,13.23
20,2014-05-14,2014-05-20,15.12,17.14,13.87,16.27,16.48
20,2015-05-13,2015-05-19,15.19,11.38,16.55,11.65,14.95
20,2016-05-18,2016-05-24,16.18,14.16,13.96,13.46,15.55
20,2017-05-17,2017-05-23,17.85,15.49,16.09,16.52,17.19
20,2018-05-16,2018-05-22,17.05,14.9,15.34,14.84,16.43
20,2019-05-15,2019-05-21,15.81,12.7,13.95,15.38,15.57
20,2020-05-13,2020-05-19,16.61,12.39,14.23,13.38,15.32
20,2021-05-19,2021-05-25,13.39,11.96,13.61,11.81,14.15
20,2022-05-18,2022-05-24,20.81,16.06,22.97,18.66,19.7
20,2023-05-17,2023-05-23,14.78,13.87,16.44,13.66,15.75
21,2010-05-26,2010-06-01,15.6,12.82,17.06,15.26,16.35
21,2011-05-25,2011-05-31,19.08,14.46,20.4,15.78,18.14
21,2012-05-23,2012-05-29,18.15,19.56,18.15,19.01,19.17
