title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
Asteroid City,21 juin 2023,Comédie dramatique,1h 46min,Wes Anderson,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks",None,U.S.A.,Universal Pictures International France,Box Office France,"['21 au 28 juin 2023', '28 juin au 5 juillet 2023']",117 498,86 521,"3,3","3,0",148311
Deux Moi,11 septembre 2019,Drame,1h 50min,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Ana Girardot, François Civil, Camille Cottin",None,France,StudioCanal,Box Office France,"['11 au 18 septembre 2019', '18 au 25 septembre 2019']",238 161,171 486,"3,7","3,5",970270
Insidious,15 juin 2011,Epouvante-horreur,1h 42min,James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",Interdit aux moins de 12 ans,U.S.A.,Wild Bunch Distribution,Box Office France,"['15 au 22 juin 2011', '22 au 29 juin 2011']",193 688,127 061,"3,2","3,5",2472418
Get Out,3 mai 2017,Thriller,1h 44min,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener",Interdit aux moins de 12 ans,U.S.A.,Universal Pictures International France,Box Office France,"['03 au 10 mai 2017', '10 au 17 mai 2017']",465 265,239 606,"4,0","4,0",1043115
47 Meters Down,28 septembre 2017,"Thriller, Epouvante-horreur",1h 41min,Johannes Roberts,"Johannes Roberts, Ernest Riera","Mandy Moore, Claire Holt, Matthew Modine",None,Grande-Bretagne,Wild Side,Box Office US,"['16 au 19 juin 2017', '23 au 26 juin 2017']",11 205 561,7 088 262,"2,7",--,137101
Yo Mama,5 juillet 2023,Comédie,1h 37min,Leïla Sy,"Amadou Mariko, Amadou Mariko","Claudia Tagbo,  Zaho, Sophie-Marie Larrouy",None,France,Gaumont Distribution,Box Office France,"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",78 717,42 432,"2,4","2,8",93944
Triangle of Sadness,28 septembre 2022,"Drame, Comédie",2h 29min,Ruben Östlund,Ruben Östlund,"Harris Dickinson, Charlbi Dean Kriek, Woody Harrelson",None,Suède,Bac Films,Box Office France,"['28 septembre au 5 octobre 2022', '05 au 12 octobre 2022']",179 786,105 276,"3,2","3,8",498535
Passages,28 juin 2023,"Drame, Romance",1h 32min,Ira Sachs,"Ira Sachs, Maurício Zacharias","Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,SBS Distribution,Box Office France,"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",11 227,4 894,"2,8","2,7",128459
Retour chez ma mère,1 juin 2016,Comédie,1h 31min,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Alexandra Lamy, Josiane Balasko, Mathilde Seigner",None,France,Pathé,Box Office France,"['01 au 8 juin 2016', '08 au 15 juin 2016']",643 863,412 121,"2,9","3,0",979945
Ouistreham,12 janvier 2022,Drame,1h 47min,Emmanuel Carrère,"Emmanuel Carrère, Hélène Devynck","Juliette Binoche, Hélène Lambert, Léa Carne",None,France,Memento Distribution,Box Office France,"['12 au 19 janvier 2022', '19 au 26 janvier 2022']",126 975,85 285,"3,5","4,0",228786
Pornomelancolía,21 juin 2023,Drame,1h 34min,Manuel Abramovich,"Manuel Abramovich, Fernando Krapp","Lalo Santos,  Diablo, Brandon Ley",Interdit aux moins de 16 ans,Argentine,Epicentre Films,Box Office France,"['21 au 28 juin 2023', '28 juin au 5 juillet 2023']",3 611,1 363,"3,5","2,7",6895
Dunkirk,19 juillet 2017,"Guerre, Historique, Drame",1h 47min,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Mark Rylance, Tom Hardy",None,U.S.A.,Warner Bros. France,Box Office France,"['19 au 26 juillet 2017', '26 juillet au 2 août 2017']",925 204,540 377,"4,1","3,9",1283108
La Sirène,28 juin 2023,"Animation, Drame",1h 41min,Sepideh Farsi,Javad Djavahery,"Mina Kavani, Hadmidreza Djavdan",None,France,Bac Films,Box Office France,"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",3 933,1 379,"3,5","3,7",85905
