title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
Machan,19 août 2009,['Comédie'],1h 40min,Uberto Pasolini,"['Ruwanthie De Chickera', 'Uberto Pasolini']","['Dharmapriya Dias', 'Gihan de Chickera', 'Dharshan Dharmaraj']","3,1","3,6",,Italie,UGC Ph,152228,['Box Office France'],"['19 au 26 août 2009', '26 août au 2 septembre 2009']",8 623,4 826
College Road Trip,,['Comédie'],1h 20min,Roger Kumble,"['Emi Mochizuki', 'Carrie Evans']","['Martin Lawrence', ' Raven-Symoné', 'Rachel Barker']","2,2",--,,U.S.A.,1 nomination,11794,['Box Office US'],"['07 au 10 mars 2008', '14 au 17 mars 2008']",13 601 419,7 810 400
Rsasa taycheh,23 novembre 2011,['Drame'],1h 15min,Georges Hachem,['Georges Hachem'],"['Nadine Labaki', 'Takla Chamoun', 'Hind Taher']","2,6","3,3",,Liban,Ciné Classic,23006,['Box Office France'],"['23 au 30 novembre 2011', '30 novembre au 7 décembre 2011']",1 248,111
Jasper und das Limonadenkomplott,16 décembre 2009,['Animation'],1h 20min,Eckart Fingberg,"['Kay Delventhal', 'Kay Delventhal', 'John Chambers (II)', 'Eckart Fingberg']","['Malte Arkona', 'Maresa Sedlmeier', 'Christoph Maria Herbst']","2,8","3,8",à partir de 6 ans (children's film),Allemagne,Bac Films,81305,['Box Office France'],"['16 au 23 décembre 2009', '23 au 30 décembre 2009']",32 027,26 183
Girafada,23 avril 2014,['Drame'],1h 25min,Rani Massalha,['Xavier Nemo'],"['Saleh Bakri', 'Mohammed Bakri', 'Roschdy Zem']","3,2","3,1",,France,Pyramide Distribution,251238,['Box Office France'],"['23 au 30 avril 2014', '30 avril au 7 mai 2014']",8 092,4 237
Fun Size,,['Comédie'],1h 26min,Josh Schwartz,['Max Werner'],"['Victoria Justice', 'Jackson Nicoll', 'Chelsea Handler']","2,1",--,,U.S.A.,,31483,['Box Office US'],"['26 au 29 octobre 2012', '02 au 5 novembre 2012']",4 101 017,2 294 636
Plein la vue,14 août 2019,['Divers'],1h 23min,Philippe Lyon,['Philippe Lyon'],"['Zacharie Chasseriaud', 'Ahmed Dramé', 'Isabelle Vitari']","2,5",--,,France,28 entrées,,['Box Office France'],['14 au 21 août 2019'],38,
La Consolation,5 avril 2017,['Drame'],1h 20min,Cyril Mennegun,['Cyril Mennegun'],"['Alexandre Guansé', 'Corinne Masiero']","1,7","2,6",,France,Haut et Court,160094,['Box Office France'],"['05 au 12 avril 2017', '12 au 19 avril 2017']",2 522,659
La Maquisarde,16 septembre 2020,"['Drame', 'Historique']",1h 24min,Nora Hamdi,['Nora Hamdi'],"['Sawsan Abès', 'Emilie Favre-Bertin', 'Bastien Tosetti']","2,0","2,1",,France,Hévadis Films,11634,['Box Office France'],"['16 au 23 septembre 2020', '23 au 30 septembre 2020']",241,101
Chant d’Hiver,25 novembre 2015,['Comédie dramatique'],1h 57min,Otar Iosseliani,['Otar Iosseliani'],"[' Rufus', 'Amiran Amiranashvili', 'Mathias Jung']","2,9","2,9",,France,Les Films du Losange,7040,['Box Office France'],"['25 novembre au 2 décembre 2015', '02 au 9 décembre 2015']",2 861,1 006
