,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
3772,gueule d'ange,2018-05-23,Drame,1h 48min,Vanessa Filho,Vanessa Filho,"Marion Cotillard, Ayline Aksoy-Etaix, Alban Lenoir",France,Mars Films,Box Office France,54 073,"3,0","2,9",427707,0
3773,la passagère,1964-10-28,Drame,1h 02min,Andrzej Munk,"Witold Lesiewicz, Zofia Posmysz, Andrzej Munk","Anna Ciepielewska, Aleksandra Slaska, Jan Kreczmar",Pologne,Malavida Films,Box Office France,1 420,"4,6","3,6",1856,0
3774,le poulain,2018-09-19,Comédie,1h 37min,Mathieu Sapin,"Mathieu Sapin, Noé Debré","Alexandra Lamy, Finnegan Oldfield, Gilles Cohen",France,Bac Films,Box Office France,92 645,"3,2","2,5",581009,0
3776,comme une image,2004-09-22,"Comédie dramatique, Musical",1h 50min,Agnès Jaoui,"Agnès Jaoui, Jean-Pierre Bacri","Marilou Berry, Agnès Jaoui, Jean-Pierre Bacri",France,Mars Distribution,Box Office France,590 485,"3,8","3,0",56540,0
3777,la fille publique,2013-06-12,Drame,2h 12min,Cheyenne Carron,Cheyenne Carron,"Doria Achour, Anne Lambert, Joël Ravon",France,Carron Distribution,Box Office France,427,"3,0","3,5",27376,0
3778,aquarius,2016-09-28,"Drame, Thriller",2h 25min,Kleber Mendonça Filho,Kleber Mendonça Filho,"Sônia Braga, Maeve Jinkings, Irandhir Santos",Brésil,SBS Distribution,Box Office France,51 391,"4,3","3,8",360814,762241
3779,no man's land,2001-09-19,Comédie dramatique,1h 38min,Danis Tanovic,Danis Tanovic,"Aleksandar Petrovic (II), Branko Đurić, Rene Bitorajac",France,Océan Films,Box Office France,46 453,"4,3","3,8",23559,8000000
3780,charlatan,2021-06-30,"Biopic, Drame, Historique",1h 59min,Agnieszka Holland,Marek Epstein,"Ivan Trojan, Josef Trojan, Juraj Loj",Pologne,KMBO,Box Office France,17 917,"3,0","3,5",157243,0
3781,l'amour est un crime parfait,2014-01-15,Thriller,1h 55min,Jean-Marie Larrieu,Arnaud Larrieu,"Mathieu Amalric, Karin Viard,  Maïwenn",France,Gaumont Distribution,Box Office France,171 693,"3,2","2,3",689522,0
3782,bad lieutenant: port of call new orleans,2010-03-17,"Policier, Drame",2h 02min,Werner Herzog,William M. Finkelstein,"Nicolas Cage, Eva Mendes, Val Kilmer",U.S.A.,Metropolitan FilmExport,Box Office France,199 231,"3,5","2,6",403719,25000000
3784,m,2017-11-15,Drame,1h 40min,Sara Forestier,Sara Forestier,"Sara Forestier, Redouanne Harjane, Jean-Pierre Léaud",France,Ad Vitam,Box Office France,35 112,"3,2","3,7",184293,86000000
3785,daddy day care,2003-10-22,"Comédie, Famille",1h 33min,Steve Carr,Geoff Rodkey,"Eddie Murphy, Anjelica Huston, Steve Zahn",U.S.A.,Columbia TriStar Films,Box Office France,203 655,"2,9","2,2",35979,60000000
3786,the mexican,2001-04-25,"Comédie, Romance, Aventure, Policier",2h 05min,Gore Verbinski,J.H. Wyman,"Brad Pitt, Julia Roberts, James Gandolfini",Mexique,United International Pictures (UIP),Box Office France,374 470,"2,4","2,1",32221,57000000
3787,ratchet & clank,2016-04-13,"Animation, Aventure, Famille",1h 34min,Jericca Cleland,"Kevin Munroe, T.J. Fixman, Kevin Munroe"," Squeezie, James Arnold Taylor, Xavier Fagnon",Canada,La Belle Company,Box Office France,97 190,"2,2","2,3",287884,20000000
3788,le rêve de noura,2019-11-13,Drame,1h 30min,Hinde Boujemaa,"Hinde Boujemaa, Laurent Brandenbourger","Hend Sabri, Lotfi Abdelli, Hakim Boumsaoudi",Tunisie,Paname Distribution,Box Office France,13 071,"3,7","3,5",163712,Erreur lors de la requête API 2.
3789,the happy prince,2018-12-19,"Biopic, Drame",1h 45min,Rupert Everett,Rupert Everett,"Rupert Everett, Colin Firth, Colin Morgan (II)",Grande-Bretagne,Océan Films,Box Office France,13 801,"3,0","2,9",54249,0
3790,step up 3-d,2010-08-18,"Romance, Comédie musicale",1h 47min,Jon M. Chu,"Amy Andelson, Emily Meyer","Rick Malambri, Adam Sevani, Sharni Vinson",U.S.A.,Universal Pictures International France,Box Office France,355 666,"3,3","3,7",1746305,30000000
3791,"telle mère, telle fille",2017-03-29,Comédie,1h 34min,Noémie Saglio,"Noémie Saglio, Agathe Pastorino","Juliette Binoche, Camille Cottin, Lambert Wilson",France,Gaumont Distribution,Box Office France,123 885,"3,0","2,0",523427,0
3792,the attack,2013-05-29,Drame,1h 42min,Ziad Doueiri,"Joëlle Touma, Ziad Doueiri","Ali Suliman, Reymonde Amsellem, Evgenia Dodina",France,Wild Bunch Distribution,Box Office France,45 581,"3,8","3,8",353391,0
3793,murder by numbers,2002-06-05,"Policier, Thriller",1h 58min,Barbet Schroeder,Tony Gayton,"Sandra Bullock, Ryan Gosling, Michael Pitt",U.S.A.,Warner Bros. France,Box Office France,201 857,"3,1","2,6",29355,50000000
3794,america latina,2022-08-17,Thriller,1h 33min,Damiano D'Innocenzo,"Fabio D'Innocenzo, Damiano D'Innocenzo, Fabio D'Innocenzo","Elio Germano, Astrid Casali, Sara Ciocca",Italie,Le Pacte,Box Office France,4 183,"2,8","2,4",29482,0
3795,lakeview terrace,2008-10-01,"Drame, Thriller, Policier",1h 51min,Neil LaBute,"David Loughery, Howard Korder","Samuel L. Jackson, Kerry Washington, Patrick Wilson",U.S.A.,Sony Pictures Releasing France,Box Office France,140 811,"2,8","2,6",284642,20000000
3796,das mädchen und die spinne,2021-10-20,Drame,1h 38min,Ramon Zürcher,"Silvan Zürcher, Ramon Zürcher, Silvan Zürcher","Henriette Confurius, Liliane Amuat, Ursina Lardi",Suisse,Wayna Pitch,Box Office France,1 008,"3,8","2,8",8108,0
3797,the least of these: the graham staines story,2023-05-10,"Drame, Biopic",1h 49min,Aneesh Daniel,"Andrew Matthews (II), Aneesh Daniel","Stephen Baldwin, Sharman Joshi, Shari Rigby",U.S.A.,Saje Distribution,Box Office France,4 192,"3,5",--,2045,0
3798,a walk among the tombstones,2014-10-15,"Thriller, Policier",1h 54min,Scott Frank,Scott Frank,"Liam Neeson, Dan Stevens, Boyd Holbrook",U.S.A.,Metropolitan FilmExport,Box Office France,110 509,"3,3","3,1",292404,28000000
