title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
l'astronaute,2023-02-15,Comédie dramatique,60,Nicolas Giraud,"Nicolas Giraud, Stéphane Cabel","Nicolas Giraud, Mathieu Kassovitz, Hélène Vincent",France,Orange Studio Distribution / Diaphana Distribution,35020,3.5,3.9,161310.0,0.0,8.3,7.73,9.41,8.59,8.79,Winter,2023
ich bin dein mensch,2022-06-22,"Romance, Science fiction, Comédie, Drame",60,Maria Schrader,"Maria Schrader, Jan Schomburg","Maren Eggert, Dan Stevens, Sandra Hüller",Allemagne,Haut et Court,16932,3.1,3.7,76820.0,0.0,20.25,17.73,18.54,20.51,19.48,Summer,2022
top gun: maverick,2022-05-25,Action,120,Joseph Kosinski,"Christopher McQuarrie, Ehren Kruger","Tom Cruise, Miles Teller, Jennifer Connelly",U.S.A.,Paramount Pictures France,1529608,3.7,4.3,2331023.0,170000000.0,18.01,13.68,21.53,17.98,15.86,Spring,2022
hokusai,2023-04-26,"Drame, Biopic, Historique",60,Hajime Hashimoto,Len Kawahara,"Yûya Yagira, Min Tanaka, Hiroshi Abe",Japon,Art House,52791,3.2,3.3,188166.0,0.0,14.48,11.15,15.9,14.83,13.54,Spring,2023
bullet train,2022-08-03,"Action, Thriller",120,David Leitch,Zak Olkewicz,"Brad Pitt, Joey King, Aaron Taylor-Johnson",U.S.A.,Sony Pictures Releasing France,491067,3.2,3.9,358804.0,90000000.0,25.91,20.83,27.03,27.04,23.63,Summer,2022
terrible jungle,2020-07-29,"Aventure, Comédie",60,Hugo Benamozig,"David Caviglioli, Hugo Benamozig, David Caviglioli","Catherine Deneuve, Vincent Dedienne, Alice Belaïdi",France,Apollo Films,83427,3.7,2.0,149535.0,0.0,24.42,21.63,23.0,23.61,22.88,Summer,2020
en corps,2022-03-30,"Comédie dramatique, Drame, Comédie",60,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Marion Barbeau, Hofesh Shechter, Denis Podalydès",France,StudioCanal,332971,3.4,4.1,322035.0,7780000.0,7.96,6.37,6.85,6.71,6.88,Spring,2022
une belle course,2022-09-21,"Comédie dramatique, Drame, Comédie",60,Christian Carion,Cyril Gely,"Line Renaud, Dany Boon, Alice Isaaz",France,Pathé,180034,3.1,3.9,69214.0,0.0,18.5,11.94,13.75,15.43,13.4,Autumn,2022
l'innocent,2022-10-12,Comédie,60,Louis Garrel,"Louis Garrel, Tanguy Viel","Roschdy Zem, Anouk Grinberg, Noémie Merlant",France,Ad Vitam,192906,4.1,3.9,242321.0,4000000.0,21.78,16.39,18.83,17.76,14.91,Autumn,2022
evil dead rise,2023-04-19,"Epouvante-horreur, Fantastique",60,Lee Cronin,Lee Cronin,"Lily Sullivan, Alyssa Sutherland, Morgan Davies",U.S.A.,Metropolitan FilmExport,235926,3.1,2.9,118122.0,15000000.0,12.87,9.7,14.52,13.36,10.79,Spring,2023
