title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
mike,2011-06-22,Comédie dramatique,60,Lars Blumers,Lars Blumers,"Marc-André Grondin, Christa Théret, Eric Elmosnino",France,Diaphana Films,7018,3.1,2.6,377551.0,0.0,22.2,20.99,25.29,21.41,18.33,Summer,2011
jimmy rivière,2011-03-09,Drame,60,Teddy Lussi-Modeste,"Rebecca Zlotowski, Teddy Lussi-Modeste","Guillaume Gouix, Béatrice Dalle, Hafsia Herzi",France,Pyramide Distribution,9237,3.1,2.3,184517.0,0.0,10.21,9.05,10.86,10.79,10.37,Spring,2011
l'apprenti père noël et le flocon magique,2013-11-20,Animation,60,Luc Vinciguerra,"Alexandre Révérend, Luc Vinciguerra","Nathan Simony, Benoît Allemane, Vincent Grass",France,Gaumont Distribution,12851,3.0,3.4,444717.0,10000000.0,12.76,4.03,5.79,2.75,4.25,Autumn,2013
on-gaku: our sound,2021-05-19,"Animation, Drame",60,Kenji Iwaisawa,Kenji Iwaisawa,"Shintarô Sakamoto, Ren Komai, Tomoya Maeno",Japon,Eurozoom,1007,3.7,3.2,5211.0,0.0,14.15,11.96,13.39,13.61,11.81,Spring,2021
gangs of wasseypur - part 1,2012-07-25,"Action, Bollywood",120,Anurag Kashyap,"Anurag Kashyap, Akhilesh Jaiswal","Manoj Bajpai, Tigmanshu Dhulia, Piyush Mishra",Inde,Happiness Distribution,5359,4.1,3.5,51383.0,1400000.0,23.62,19.09,24.32,23.11,21.57,Summer,2012
aragh-e sard,2018-11-28,Drame,60,Soheil Beiraghi,Soheil Beiraghi,"Baran Kosari, Amir Jadidi, Sahar Dowlatshahi",Iran,Dulac Distribution,13497,3.4,3.7,235760.0,0.0,17.93,11.3,11.13,7.92,11.29,Autumn,2018
tiens-toi droite,2014-11-26,Comédie,60,Katia Lewkowicz,Katia Lewkowicz,"Marina Foïs, Noémie Lvovsky, Laura Smet",France,Wild Bunch Distribution,28243,2.2,1.8,259797.0,0.0,16.92,7.23,12.67,8.95,7.76,Autumn,2014
nil battey sannata,2017-01-04,Comédie dramatique,60,Ashwiny Iyer Tiwari,"Ashwiny Iyer Tiwari, Nitesh Tiwari","Swara Bhaskar, Ratna Pathak Shah, Riya Shukla",Inde,KMBO,2498,2.6,3.3,82210.0,0.0,2.07,3.58,3.83,-0.51,2.44,Winter,2017
slava,2017-04-19,Comédie dramatique,60,Kristina Grozeva,"Petar Valchanov, Kristina Grozeva, Petar Valchanov","Stefan Denolyubov, Margita Gosheva, Kitodar Todorov",Bulgarie,Urban Distribution,11242,3.6,3.8,153638.0,0.0,11.21,7.83,14.03,9.77,8.41,Spring,2017
marnies welt,2019-10-09,"Animation, Famille",60,Christoph Lauenstein,"Wolfgang Lauenstein, Christoph Lauenstein, Wolfgang Lauenstein","Alexandra Neldel, Axel Prahl, Santiago Ziesmer",Allemagne,Septième Factory,21338,3.0,2.6,608044.0,9000000.0,21.48,15.48,17.58,17.32,16.02,Autumn,2019
10 jours en or,2012-01-11,Comédie dramatique,60,Nicolas Brossette,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer",France,Metropolitan FilmExport,70663,2.4,2.3,953538.0,0.0,2.75,4.82,2.38,1.08,3.49,Winter,2012
9 doigts,2018-03-21,Thriller,60,Francois-Jacques Ossang,Francois-Jacques Ossang,"Paul Hamy, Damien Bonnard, Pascal Greggory",France,Les Bookmakers / Capricci Films,1740,3.2,2.4,23648.0,0.0,7.94,5.89,7.84,5.69,8.29,Spring,2018
notre paradis,2011-09-28,Drame,60,Gaël Morel,Gaël Morel,"Stéphane Rideau, Dimitri Durdaine, Béatrice Dalle",France,Alfama Films,6021,2.4,2.7,118443.0,0.0,22.81,17.29,20.05,18.63,19.07,Autumn,2011
le parc,2017-01-04,Comédie dramatique,60,Damien Manivel,"Damien Manivel, Isabel Pagliai","Naomie Vogt-Roby, Maxime Bachellerie, Sobere Sessouma",France,Shellac,3378,3.8,2.3,119743.0,0.0,2.07,3.58,3.83,-0.51,2.44,Winter,2017
la nostra vita,2011-04-06,Drame,60,Daniele Luchetti,"Daniele Luchetti, Sandro Petraglia","Elio Germano, Raoul Bova, Isabella Ragonese",France,Ad Vitam,25514,3.0,2.9,263304.0,0.0,14.62,11.76,17.55,15.8,13.99,Spring,2011
un enfant de toi,2012-12-26,Comédie dramatique,120,Jacques Doillon,Jacques Doillon,"Lou Doillon, Samuel Benchetrit, Malik Zidi",France,Dulac Distribution,11361,2.9,1.3,260738.0,0.0,17.82,8.01,11.34,8.75,9.01,Winter,2012
les rois du monde,2015-09-23,Comédie dramatique,60,Laurent Laffargue,"Laurent Laffargue, Frédérique Moreau","Sergi López, Céline Sallette, Eric Cantona",France,Jour2fête,9775,2.1,2.4,141388.0,0.0,19.04,14.1,16.14,12.91,13.05,Autumn,2015
insyriated,2017-09-06,Drame,60,Philippe Van Leeuw,Philippe Van Leeuw,"Hiam Abbass, Diamand Abou Abboud, Juliette Navis",Belgique,KMBO,17832,3.7,4.0,224665.0,0.0,19.63,14.51,16.89,15.99,14.76,Autumn,2017
charlie's country,2014-12-17,Drame,60,Rolf De Heer,"Rolf De Heer, David Gulpilil","David Gulpilil, Peter Djigirr, Luke Ford",Australie,Nour Films,1989,3.7,3.7,187463.0,0.0,16.13,9.11,7.31,4.3,8.94,Winter,2014
espíritu sagrado,2022-07-06,"Science fiction, Comédie, Drame",60,Chema Garcia Ibarra,Chema Garcia Ibarra,"Nacho Fernández, Llum Arques, Joanna Valverde",Espagne,La Fabrica Nocturna Cinéma,774,3.2,3.1,2484.0,1370000.0,23.66,19.65,26.55,22.6,22.49,Summer,2022
mila,2022-04-13,"Comédie, Drame",60,Christos Nikou,"Christos Nikou, Stavros Raptis","Aris Servetalis, Sofia Georgovassili, Anna Kalaitzidou",Grèce,Bodega Films,414,2.9,3.3,3620.0,0.0,14.31,13.94,14.2,13.95,14.48,Spring,2022
i don't know how she does it,2011-09-21,Comédie,60,Douglas McGrath,Aline Brosh McKenna,"Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear",U.S.A.,SND,128970,3.3,2.2,1176352.0,24000000.0,22.31,16.53,20.04,19.56,17.43,Autumn,2011
route irish,2011-03-16,"Drame, Thriller, Action",60,Ken Loach,Paul Laverty,"Mark Womack, Andrea Lowe, John Bishop (IV)",Belgique,Diaphana Distribution,33146,2.9,2.9,453287.0,0.0,9.66,6.96,11.52,9.41,9.41,Spring,2011
l'enfance du mal,2010-05-12,"Drame, Thriller",60,Olivier Coussemacq,Olivier Coussemacq,"Anaïs Demoustier, Pascal Greggory, Ludmila Mikaël",France,Zelig Films Distribution,12611,3.1,2.5,52621.0,0.0,12.65,8.94,13.13,11.27,10.89,Spring,2010
ghost tropic,2020-01-01,Drame,60,Bas Devos,Bas Devos,"Saadia Bentaïeb, Maaike Neuville, Nora Dari",Belgique,JHR Films,544,3.2,2.1,10108.0,0.0,4.99,5.32,7.15,4.53,6.97,Winter,2020
chien de garde,2018-11-14,Drame,60,Sophie Dupuis,Sophie Dupuis,"Jean-Simon Leduc, Théodore Pellerin, Maude Guérin",Canada,Fratel Films,870,3.0,3.0,27156.0,0.0,14.72,5.1,10.02,6.44,6.05,Autumn,2018
god help the girl,2014-12-03,"Drame, Romance, Comédie musicale",60,Stuart Murdoch,Stuart Murdoch,"Emily Browning, Olly Alexander, Hannah Murray",Grande-Bretagne,TF1 Vidéo,2946,3.1,3.3,45567.0,0.0,12.96,2.97,5.35,4.25,3.21,Winter,2014
vuelven,2019-07-24,"Thriller, Fantastique",60,Issa Lopez,Issa Lopez,"Paola Lara, Juan Ramon Lopez, Ianis Guerrero",Mexique,Karmafilms Distribution,66,2.7,3.2,14111.0,0.0,25.0,24.02,20.74,25.84,24.42,Summer,2019
io e te,2013-09-18,Drame,60,Bernardo Bertolucci,"Bernardo Bertolucci, Niccolò Ammaniti","Jacopo Olmo Antinori, Tea Falco, Sonia Bergamasco",Italie,KMBO,5746,3.3,3.5,53198.0,0.0,20.7,16.82,17.7,15.78,15.21,Autumn,2013
meltem,2019-03-13,Drame,60,Basile Doganis,"Basile Doganis, Fadette Drouard","Daphne Patakia, Rabah Naït Oufella, Lamine Cissokho",France,Jour2fête,1577,2.9,2.8,17759.0,0.0,9.09,7.91,10.06,8.27,8.22,Spring,2019
la petite chambre,2011-02-16,Comédie dramatique,60,Stéphanie Chuat,"Véronique Reymond, Stéphanie Chuat, Véronique Reymond","Michel Bouquet, Florence Loiret-Caille, Eric Caravaca",Suisse,KMBO,14448,3.0,3.2,52534.0,0.0,5.78,3.72,8.58,5.94,3.68,Winter,2011
mater,2021-06-02,Drame,60,Jure Pavlović,Jure Pavlović,"Daria Lorenci, Neva Rosic, Vera Zima",Croatie,Damned Distribution,333,3.5,3.2,36677.0,0.0,19.55,18.13,19.85,19.49,18.29,Summer,2021
kuma,2012-06-06,Drame,60,Umut Dağ,"Umut Dağ, Petra Ladinigg","Begüm Akkaya, Vedat Erincin, Nihal Koldaş",Autriche,KMBO,18407,3.3,3.9,320253.0,0.0,17.43,14.91,17.93,16.67,14.64,Summer,2012
réfractaire,2010-11-10,Drame,60,Nicolas Steil,"Nicolas Steil, Jean-Louis Schlesser","Grégoire Leprince-Ringuet, Arthur Dupont, Guillaume Gouix",Luxembourg,Albany Films distribution,620,1.6,2.7,18761.0,0.0,16.43,6.68,10.43,9.72,10.32,Autumn,2010
"cornélius, le meunier hurlant",2018-05-02,Comédie dramatique,60,Yann Le Quellec,Yann Le Quellec,"Bonaventure Gacon, Anaïs Demoustier, Gustave Kervern",France,Ad Vitam,5513,2.6,2.8,39538.0,0.0,15.81,15.02,13.91,19.25,12.89,Spring,2018
dopo la guerra,2018-03-21,Drame,60,Annarita Zambrano,"Annarita Zambrano, Delphine Agut","Giuseppe Battiston, Charlotte Cétaire, Barbora Bobulova",France,Pyramide Distribution,10172,3.0,3.0,274194.0,0.0,7.94,5.89,7.84,5.69,8.29,Spring,2018
souvenir,2016-12-21,"Romance, Drame",60,Bavo Defurne,"Jacques Boon, Bavo Defurne","Isabelle Huppert, Kévin Azaïs, Johan Leysen",France,ARP Sélection,26809,3.1,2.8,243124.0,0.0,15.8,6.55,10.41,5.09,5.96,Winter,2016
white shadow,2015-03-11,Drame,60,Noaz Deshe,"Noaz Deshe, James Masson","Hamisi Bazili, James Gayo, Salum Abdallah",Tanzanie,Premium Films,850,3.9,3.4,136737.0,0.0,8.78,5.75,9.37,9.74,8.04,Spring,2015
wajib,2018-02-14,Drame,60,Annemarie Jacir,Annemarie Jacir,"Mohammad Bakri, Saleh Bakri, Maria Zreik",Palestine,Pyramide Distribution,17915,3.5,3.6,198887.0,0.0,6.09,4.13,9.91,4.75,4.65,Winter,2018
die welt wird eine andere sein,2021-08-11,Drame,60,Anne Zohra Berrached,Stefanie Misrahi,"Canan Kir, Roger Azar, Özay Fecht",Allemagne,Haut et Court,1724,3.4,3.1,31588.0,0.0,24.11,21.36,21.35,22.83,23.0,Summer,2021
hyde park on hudson,2013-02-27,"Drame, Romance, Comédie",60,Roger Michell,Richard Nelson,"Bill Murray, Laura Linney, Samuel West",Grande-Bretagne,Diaphana Distribution,82306,2.8,2.4,400542.0,0.0,5.6,3.42,7.11,3.02,5.46,Winter,2013
vampires,2010-09-01,"Comédie, Fantastique",60,Vincent Lannoo,"Vincent Lannoo, Frédérique Broos","Carlo Ferrante, Vera Van Dooren, Pierre Lognay",Belgique,Eurozoom,2117,2.6,2.5,149523.0,20000000.0,21.54,15.34,21.36,17.79,18.2,Autumn,2010
le jour de la grenouille,2012-09-12,Drame,60,Beatrice Pollet,Beatrice Pollet,"Joséphine de Meaux, Patrick Catalifo, Dominique Reymond",France,Jour2fête,1550,2.7,2.7,164702.0,0.0,20.04,14.19,17.84,16.28,14.91,Autumn,2012
hénaut président,2012-03-21,Comédie,60,Michel Muller,"Michel Muller, Antoine Benguigui","Michel Muller, Olivier Gourmet, Fred Scotlande",France,CTV International,3854,2.7,2.9,113161.0,0.0,13.36,12.78,14.6,13.4,14.04,Spring,2012
les papas du dimanche,2012-01-25,Comédie dramatique,60,Louis Becker,"Olivier Torres, Louis Becker","Thierry Neuvic, Hélène Fillières, Olivier Baroux",France,Pathé,43765,2.0,2.9,629137.0,0.0,4.19,3.26,4.5,5.6,3.57,Winter,2012
les enfants d'isadora,2019-11-20,Drame,60,Damien Manivel,"Damien Manivel, Julien Dieudonné","Agathe Bonitzer, Manon Carpentier, Marika Rizzi",France,Shellac,3351,3.6,2.2,19723.0,230000.0,15.65,5.39,9.31,7.99,8.56,Autumn,2019
papa was not a rolling stone,2014-10-08,Comédie dramatique,60,Sylvie Ohayon,"Sylvie Ohayon, Sylvie Verheyde","Doria Achour, Aure Atika, Marc Lavoine",France,Pathé,51667,2.9,2.8,395536.0,0.0,20.89,13.82,17.85,15.99,15.78,Autumn,2014
oh lucy!,2018-01-31,Comédie dramatique,60,Atsuko Hirayanagi,"Atsuko Hirayanagi, Boris Frumin","Shinobu Terajima, Shioli Kutsuna, Josh Hartnett",Japon,Nour Films,16720,2.8,3.5,189410.0,0.0,3.99,3.85,4.78,3.94,2.39,Winter,2018
tell me lies,2012-10-10,Drame,60,Peter Brook,"Peter Brook, Michael Kustow","Mark Jones, Robert Lloyd, Glenda Jackson",Grande-Bretagne,Dulac Distribution,3901,3.8,3.6,186487.0,0.0,17.91,9.89,14.44,12.92,11.3,Autumn,2012
théo et les métamorphoses,2022-03-09,Comédie dramatique,60,Damien Odoul,Damien Odoul,"Théo Kermel, Pierre Meunier, Ayumi Roux",France,Wild Bunch Distribution,969,3.3,2.2,4270.0,0.0,9.99,9.56,11.54,9.89,8.97,Spring,2022
abracadabra,2018-04-04,"Comédie dramatique, Fantastique, Thriller",60,Pablo Berger,Pablo Berger,"Maribel Verdú, Antonio de la Torre, José Mota",Espagne,Condor Distribution,14622,2.6,2.7,179139.0,5200000.0,13.03,12.87,12.19,14.55,11.53,Spring,2018
wela,2022-05-04,Drame,60,Jakrawal Nilthamrong,Jakrawal Nilthamrong,"Thaveeratana Leelanuja, Prapamonton Eiamchan, Sorabodee Changsiri",Thaïlande,Damned Distribution,250,3.1,3.5,32414.0,0.0,16.46,15.1,16.45,16.71,16.04,Spring,2022
the mill and the cross,2011-12-28,"Drame, Historique",60,Lech Majewski,"Lech Majewski, Michael Francis Gibson","Rutger Hauer, Charlotte Rampling, Michael York",Pologne,Dulac Distribution,22606,3.2,2.7,317911.0,0.0,16.25,8.4,9.5,4.93,6.42,Winter,2011
la llamada,2011-08-03,"Drame, Romance",60,Stefano Pasetto,"Stefano Pasetto, Veronica Cascelli","Sandra Ceccarelli, Francesca Inaudi, César Bordón",Italie,Memento Distribution,5972,2.3,2.9,42202.0,3144622.0,21.89,18.01,20.23,21.47,18.75,Summer,2011
upstream color,2017-08-23,"Drame, Science fiction",60,Shane Carruth,Shane Carruth,"Amy Seimetz, Shane Carruth, Andrew Sensenig",U.S.A.,Ed Distribution,2084,3.5,2.7,33005.0,100000.0,25.22,20.66,21.96,26.69,22.8,Summer,2017
remember me,2020-09-09,"Romance, Comédie",60,Martín Rosete,"Rafa Russo, Martín Rosete","Bruce Dern, Caroline Silhol, Brian Cox",U.S.A.,Alba Films,4737,2.5,2.8,87412.0,16000000.0,24.93,17.53,23.66,23.1,23.35,Autumn,2020
tao jie,2013-05-08,Comédie dramatique,120,Ann Hui,"Susan Chan, Roger Lee","Andy Lau, Deannie Yip, Quin Hailu",Hong-Kong,Les Acacias,12263,3.8,4.0,33061.0,0.0,14.56,11.44,14.29,14.33,13.75,Spring,2013
as if i am not there,2013-02-27,Drame,60,Juanita Wilson (II),Juanita Wilson (II),"Natasa Petrovic, Fedja Stukan, Miraj Grbic",Irlande,Aramis Films,424,2.4,3.6,26777.0,0.0,5.6,3.42,7.11,3.02,5.46,Winter,2013
der räuber,2010-11-10,"Drame, Judiciaire, Biopic",60,Benjamin Heisenberg,"Benjamin Heisenberg, Martin Prinz","Andreas Lust, Franziska Weisz, Florian Wotruba",Autriche,ASC Distribution,4121,3.8,3.1,116976.0,3900000.0,16.43,6.68,10.43,9.72,10.32,Autumn,2010
cabeza de vaca,2010-12-22,"Aventure, Historique, Drame",60,Nicolás Echevarría,"Nicolás Echevarría, Xavier Robles","Juan Diego, Daniel Giménez Cacho, Roberto Sosa",U.S.A.,Ed Distribution,4405,3.8,3.6,32127.0,0.0,10.82,-0.45,4.07,0.43,-0.95,Winter,2010
el empleado y el patron,2022-04-06,"Drame, Thriller",60,Manuel Nieto Zas,Manuel Nieto Zas,"Nahuel Perez Biscayart, Cristian Borges, Justina Bustos",Uruguay,Eurozoom,5472,3.3,3.2,5128.0,0.0,11.52,10.81,11.58,11.95,9.28,Spring,2022
la dune,2014-08-13,Drame,60,Yossi Aviram,Yossi Aviram,"Niels Arestrup, Lior Ashkenazi, Guy Marchand",France,Le Pacte,8847,3.2,2.8,177486.0,0.0,20.19,15.79,17.65,18.42,16.1,Summer,2014
test,2015-04-01,Drame,60,Chris Mason Johnson,Chris Mason Johnson,"Scott Marlowe, Matthew Risch, Evan Boomer",U.S.A.,KMBO,251,2.6,3.7,115699.0,0.0,8.87,5.64,10.92,6.18,7.59,Spring,2015
a nagy füzet,2014-03-19,"Drame, Guerre",60,Janos Szasz,"Janos Szasz, András Szekér","András Gyémánt, László Gyémánt, Gyöngyvér Bognár",Hongrie,Pretty Pictures,6116,3.0,3.4,143463.0,0.0,9.7,9.23,8.61,9.18,9.5,Spring,2014
einitréð,2019-05-08,"Drame, Fantastique",60,Nietzchka Keene,Nietzchka Keene," Björk, Bryndis Petra Bragadóttir, Valdimar Örn Flygenring",Islande,Les Bookmakers / Capricci Films,1368,3.6,3.4,21878.0,0.0,14.23,10.76,15.36,14.15,11.89,Spring,2019
allez raconte !,2010-10-20,Animation,60,Jean-Christophe Roger (II),Jean-Christophe Roger (II),"Eric Métayer, Elie Semoun, Fred Testot",France,Gebeka Films,10502,2.8,3.4,132470.0,0.0,14.26,5.45,10.45,7.36,6.05,Autumn,2010
au galop,2012-10-17,Comédie dramatique,60,Louis-Do de Lencquesaing,Louis-Do de Lencquesaing,"Marthe Keller, Valentina Cervi, Alice de Lencquesaing",France,Pyramide Distribution,20098,2.8,2.4,506275.0,0.0,20.98,14.32,15.44,17.76,15.4,Autumn,2012
infancia clandestina,2013-05-08,Drame,60,Benjamín Avila,"Benjamín Avila, Marcelo Müller","Ernesto Alterio, Natalia Oreiro, César Troncoso",Espagne,Pyramide Distribution,20221,3.6,3.9,190411.0,0.0,14.56,11.44,14.29,14.33,13.75,Spring,2013
harragas,2010-02-24,Drame,60,Merzak Allouache,Merzak Allouache,"Lamia Boussekine, Nabil Asli, Samir El Hakim",France,Jour2fête,6543,2.9,3.3,41274.0,0.0,8.7,7.04,11.41,8.69,8.34,Winter,2010
poursuite,2011-03-09,Drame,60,Marina Déak,Marina Déak,"Marina Déak, Yann Guillemot, Renaud Dehesdin",France,Contre-Allée Distribution,1114,3.2,2.2,29943.0,0.0,10.21,9.05,10.86,10.79,10.37,Spring,2011
lili rose,2014-10-22,"Comédie dramatique, Romance",60,Ballouard Bruno,Ballouard Bruno,"Salomé Stévenin, Mehdi Dehbi, Bruno Clairefond",France,Zelig Films Distribution,3344,2.8,3.2,28259.0,0.0,18.5,11.68,13.25,11.54,13.05,Autumn,2014
le coeur régulier,2016-03-30,Drame,60,Vanja D'Alcantara,Vanja D'Alcantara,"Isabelle Carré, Jun Kunimura, Niels Schneider",Belgique,Condor Distribution,26599,2.9,3.0,194464.0,0.0,11.75,10.59,10.83,12.92,11.39,Spring,2016
mandariinid,2016-04-06,"Drame, Guerre",60,Zaza Urushadze,Zaza Urushadze,"Lembit Ulfsak, Elmo Nüganen, Misha Meskhi",Estonie,ACE Entertainment Films,4816,3.8,3.9,15983.0,0.0,11.33,10.83,10.67,12.71,8.42,Spring,2016
cruel,2017-02-01,"Thriller, Policier",60,Éric Cherrière,Éric Cherrière,"Jean-Jacques Lelté, Magali Moreau, Maurice Poli",France,Aanna Films,341,2.7,2.8,102835.0,0.0,7.22,6.5,9.39,7.39,7.8,Winter,2017
les chaises musicales,2015-07-29,Comédie dramatique,60,Marie Belhomme,"Marie Belhomme, Michel Leclerc","Isabelle Carré, Carmen Maura, Philippe Rebbot",France,Bac Films,31881,2.6,2.7,221780.0,0.0,22.6,19.16,21.53,20.28,21.05,Summer,2015
goodbye morocco,2013-02-13,Drame,60,Nadir Moknèche,Nadir Moknèche,"Lubna Azabal, Radivoje Bukvic, Faouzi Bensaïdi",France,Les Films du Losange,13184,3.1,3.1,48694.0,0.0,4.37,2.74,8.0,1.85,2.27,Winter,2013
le week-end,2014-03-05,"Comédie dramatique, Romance",60,Roger Michell,Hanif Kureishi,"Jim Broadbent, Lindsay Duncan, Jeff Goldblum",Grande-Bretagne,ARP Sélection,31950,3.4,2.6,94224.0,0.0,8.87,7.87,10.33,8.24,7.92,Spring,2014
corps étranger,2018-02-21,Drame,60,Raja Amari,Raja Amari,"Hiam Abbass, Sara Hanachi, Salim Kechiouche",France,Paname Distribution,5002,3.1,2.5,162189.0,0.0,1.66,-0.82,2.86,-1.67,-0.07,Winter,2018
isha ovedet,2019-04-17,Drame,60,Michal Aviad,"Michal Aviad, Sharon Azulay Eyal","Liron Ben-Shlush, Menashe Noy, Oshri Cohen",Israël,KMBO,9577,3.7,3.9,242420.0,0.0,16.17,14.84,16.65,17.09,16.25,Spring,2019
the reports on sarah and saleem,2019-05-08,"Drame, Romance, Judiciaire",120,Muayad Alayan,Rami Musa Alayan,"Maisa Abd Elhadi, Adeeb Safadi, Sivane Kretchner",Palestine,Bodega Films,4730,3.4,3.9,12228.0,0.0,14.23,10.76,15.36,14.15,11.89,Spring,2019
"boogie, el aceitoso",2010-11-17,"Animation, Action, Thriller",60,Gustavo Cova,"Roberto Fontanarrosa, Marcelo Paez-Cubells","Liane Foly, Pablo Echarri, Nancy Dupláa",Argentine,Colifilms Diffusion,4922,2.2,2.8,253141.0,0.0,14.04,4.46,7.39,6.99,5.37,Autumn,2010
l'intrusa,2017-12-13,Drame,60,Leonardo Di Costanzo,"Leonardo Di Costanzo, Maurizio Braucci","Raffaella Giordano, Valentina Vannino, Martina Abbate",Italie,Les Bookmakers / Capricci Films,1803,3.5,2.9,16706.0,0.0,13.66,3.61,6.61,3.37,4.72,Winter,2017
das sandmännchen - abenteuer im traumland,2011-02-09,Animation,60,Helmut Fischer,"Sinem Sakaoğlu, Jesper Møller, Katharina Reschke, Jan Claudius Strathmann","Bruno Renne, Volker Lechtenbrink, Ilja Richter",Allemagne,Bac Films,14669,3.3,3.4,223316.0,0.0,7.16,7.86,7.32,6.21,8.42,Winter,2011
here we are,2021-12-22,"Drame, Aventure",60,Nir Bergman,Dana Idisis,"Shai Avivi, Noam Imber, Smadi Wolfman",Israël,Dulac Distribution,4244,3.3,3.7,55480.0,0.0,16.01,3.81,11.09,7.38,6.77,Winter,2021
"ana, mon amour",2017-06-21,Drame,120,Calin Peter Netzer,"Calin Peter Netzer, Cezar Paul Badescu","Mircea Postelnicu, Diana Cavaliotti, Carmen Tanase",Roumanie,Dulac Distribution,5875,3.2,3.4,105892.0,0.0,23.09,18.57,23.09,26.55,22.26,Summer,2017
des plans sur la comète,2017-06-21,Comédie dramatique,60,Guilhem Amesland,Guilhem Amesland,"Vincent Macaigne, Philippe Rebbot, Suzanne Clément",France,Jour2fête,3402,2.3,2.5,102033.0,0.0,23.09,18.57,23.09,26.55,22.26,Summer,2017
une barque sur l'océan,2020-08-26,"Drame, Romance",60,Arnold de Parscau,Arnold de Parscau,"Hari Santika, Dorcas Coppin, Elisza Cahaya",France,Wayna Pitch,183,2.4,3.2,46245.0,0.0,21.41,16.42,19.75,17.88,17.99,Summer,2020
kill your friends,2015-12-02,"Thriller, Comédie",60,Owen Harris,John Niven,"Nicholas Hoult, Ed Skrein, James Corden",Grande-Bretagne,Chrysalis Films,11400,3.2,3.2,69696.0,0.0,16.46,9.58,9.02,7.07,7.63,Winter,2015
chiisai ouchi,2015-04-01,Drame,120,Yoji Yamada,"Yoji Yamada, Emiko Hiramatsu","Takako Matsu, Haru Kuroki, Takatarô Kataoka",Japon,Pyramide Distribution,21318,3.3,4.0,171869.0,0.0,8.87,5.64,10.92,6.18,7.59,Spring,2015
halt auf freier strecke,2012-04-04,Drame,60,Andreas Dresen,"Andreas Dresen, Cooky Ziesche","Steffi Kühnert, Milan Peschel, Talisa Lilly Lemke",Allemagne,Dulac Distribution,3540,3.4,3.5,220900.0,0.0,10.41,7.33,11.45,10.46,8.8,Spring,2012
toast,2011-10-05,"Comédie dramatique, Biopic",60,S.J. Clarkson,Lee Hall,"Oscar Kennedy, Helena Bonham Carter, Freddie Highmore",Grande-Bretagne,UGC Ph,4268,2.3,2.9,104313.0,0.0,19.74,14.83,15.78,13.22,14.87,Autumn,2011
r.i.f. (recherches dans l'intérêt des familles),2011-08-31,Policier,60,Franck Mancuso,Franck Mancuso,"Yvan Attal, Pascal Elbé, Talid Ariss",France,StudioCanal,126589,2.2,2.6,609617.0,7700000.0,22.23,17.91,20.65,19.98,17.62,Summer,2011
a e i o u - das schnelle alphabet der liebe,2022-12-21,"Comédie, Romance",60,Nicolette Krebitz,Nicolette Krebitz,"Sophie Rois, Udo Kier, Milan Herms",Allemagne,Shellac,424,2.3,2.0,2289.0,0.0,19.39,9.21,13.53,12.32,10.89,Winter,2022
boku wa iesu-sama ga kirai,2019-12-25,Drame,60,Hiroshi Okuyama,Hiroshi Okuyama,"Yura Sato, Riki Okuma, Chad Mullane",Japon,Eurozoom,1328,3.5,3.1,14612.0,0.0,14.45,4.11,7.53,4.06,4.55,Winter,2019
allons enfants,2018-04-18,Drame,60,Stéphane Demoustier,Stéphane Demoustier,"Cléo Demoustier, Paul Demoustier, Vimala Pons",France,Norte Distribution,590,3.1,2.5,289363.0,1100000.0,17.75,16.44,19.24,19.22,17.86,Spring,2018
sur la planche,2012-02-01,Drame,60,Leïla Kilani,"Leïla Kilani, Hafed Benotman","Soufia Issami, Mouna Bahmad, Nouzha Akel",France,Epicentre Films,9506,3.9,2.8,76255.0,0.0,-2.57,-4.89,-2.12,-6.15,-4.69,Winter,2012
le grand retournement,2013-01-23,Comédie dramatique,60,Gérard Mordillat,Gérard Mordillat,"Jacques Weber, François Morel, Edouard Baer",France,Solaris Distribution,12769,3.2,2.9,63690.0,0.0,2.41,-0.84,4.75,1.18,2.96,Winter,2013
mon amie victoria,2014-12-31,Drame,60,Jean Paul Civeyrac,Jean Paul Civeyrac,"Guslagie Malanda, Pierre Andrau, Nadia Moussa",France,Les Films du Losange,23428,3.4,2.5,163421.0,0.0,3.12,2.68,6.37,3.21,2.34,Winter,2014
dom hemingway,2014-06-04,"Comédie, Policier",60,Richard Shepard,Richard Shepard,"Jude Law, Richard E. Grant, Demian Bichir",Grande-Bretagne,Twentieth Century Fox France,149,2.5,2.7,116062.0,0.0,21.12,18.65,20.04,24.4,19.51,Summer,2014
shatranj-e baad,2021-08-18,Drame,60,Mohammad Reza Aslani,Mohammad Reza Aslani,"Fakhri Khorvash, Mohamad Ali Keshavarz, Akbar Zanjanpour",Iran,Carlotta Films,5486,4.4,3.4,8954.0,0.0,22.03,17.32,19.54,20.89,19.38,Summer,2021
le cancre,2016-10-05,"Drame, Romance",60,Paul Vecchiali,"Paul Vecchiali, Noël Simsolo","Pascal Cervo, Paul Vecchiali, Catherine Deneuve",France,Shellac,4218,3.3,2.3,12833.0,0.0,16.67,8.98,13.73,9.54,11.09,Autumn,2016
