,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
2351,Comédie,100,France,183664,2.4,1.6,685044.0,0.0,1.8,0.11,1.99,-0.9,-0.22,Winter,True,0.33,0.0,0,243.0
2352,"Action, Fantastique, Epouvante-horreur",88,U.S.A.,357266,1.7,3.1,926836.0,50000000.0,8.87,4.7,12.54,10.1,6.99,Spring,True,0.33,0.0,0,107.0
2353,Animation,38,France,13619,3.7,2.6,149150.0,0.0,9.49,7.61,13.45,10.52,10.87,Winter,False,0.0,0.0,0,22.0
2354,"Drame, Science fiction",92,U.S.A.,28,2.6,3.5,841282.0,100000.0,18.68,11.91,14.57,13.58,12.32,Autumn,False,0.0,0.0,0,165.0
2355,Comédie,95,France,3364,2.9,2.5,97274.0,1200000.0,21.05,14.44,21.08,16.35,16.37,Autumn,False,0.0,0.0,0,79.0
2356,Drame,98,France,48291,4.1,3.5,336266.0,0.0,12.36,10.35,15.07,12.12,11.26,Spring,False,0.0,0.0,0,150.0
2357,Thriller,92,Grande-Bretagne,111447,2.4,3.1,555610.0,22000000.0,20.89,15.89,19.84,15.81,13.91,Autumn,False,0.67,0.0,0,139.0
2358,"Comédie musicale, Famille",117,U.S.A.,86677,1.9,2.6,253351.0,65000000.0,8.0,6.19,10.7,7.03,7.1,Winter,True,0.0,0.0,0,154.0
2359,"Drame, Historique",92,Espagne,20879,3.2,3.6,56169.0,0.0,21.12,16.05,19.75,18.23,17.58,Summer,True,0.0,0.0,0,74.0
2360,Policier,111,France,100281,3.6,3.6,594141.0,0.0,19.48,12.58,14.93,14.87,15.0,Autumn,False,1.0,0.0,0,86.0
2361,"Action, Science fiction",94,U.S.A.,32575,2.1,3.1,411427.0,2000000.0,11.55,8.44,12.24,11.44,10.64,Spring,True,0.0,0.0,0,258.0
2362,Comédie dramatique,101,Grande-Bretagne,23663,3.0,3.2,530085.0,967686.0,11.65,1.72,5.7,1.56,0.26,Winter,False,0.0,0.0,0,54.0
2363,Comédie,100,France,26493,3.4,3.1,208561.0,0.0,6.92,5.66,8.07,5.99,5.88,Spring,True,0.0,0.0,0,70.0
2364,"Drame, Comédie, Romance",113,France,31781,3.5,3.0,102981.0,0.0,22.72,21.22,24.02,18.96,21.38,Summer,True,0.0,0.0,0,70.0
2365,"Fantastique, Comédie musicale, Aventure",125,U.S.A.,2314,2.9,2.2,539338.0,50000000.0,3.94,2.8,6.18,2.33,3.37,Winter,False,0.67,0.0,0,114.0
2366,Comédie,95,U.S.A.,418659,3.1,3.3,1767285.0,65000000.0,16.43,6.68,10.43,9.72,10.32,Autumn,False,0.33,0.0,0,184.0
2367,Drame,82,France,20258,3.4,2.7,182868.0,0.0,22.77,17.39,20.99,21.87,20.61,Summer,True,0.0,0.0,0,158.0
2368,"Drame, Biopic, Historique",101,France,84248,3.0,2.3,322571.0,0.0,20.02,14.38,17.39,13.63,16.72,Autumn,False,0.33,0.0,0,161.0
2369,"Policier, Drame",125,Italie,17560,2.3,2.6,283393.0,0.0,11.33,10.83,10.67,12.71,8.42,Spring,True,0.67,0.0,0,161.0
2370,Drame,85,Corée du Sud,7264,4.1,3.3,49322.0,0.0,18.5,11.94,13.75,15.43,13.4,Autumn,False,0.0,0.0,0,41.0
2371,"Romance, Comédie",111,U.S.A.,126302,1.9,2.8,887339.0,80000000.0,11.57,9.61,11.73,11.73,12.79,Spring,False,0.0,0.0,0,154.0
2372,Comédie,98,France,109661,2.9,1.6,307147.0,0.0,24.42,21.63,23.0,23.61,22.88,Summer,True,0.33,0.0,0,156.0
2373,Animation,85,U.S.A.,18400,3.3,3.9,105009.0,25000000.0,16.92,14.19,15.82,17.22,16.37,Spring,False,0.67,0.0,0,83.0
2374,"Romance, Drame",108,U.S.A.,41776,3.4,3.6,262673.0,3000000.0,18.7,13.53,18.67,19.69,15.6,Summer,False,0.33,0.5,0,127.0
2375,Comédie,94,France,170481,3.4,3.6,524476.0,0.0,16.2,6.48,10.53,9.85,10.15,Autumn,True,0.0,0.0,0,142.0
2376,"Drame, Romance",113,Irlande,56305,3.4,3.9,655245.0,11000000.0,7.29,5.28,7.98,6.1,7.1,Spring,False,0.0,0.0,0,165.0
2377,Comédie,112,Grande-Bretagne,3472,2.9,3.2,99222.0,0.0,20.32,18.34,19.48,18.88,17.9,Summer,True,0.0,0.0,0,22.0
2378,"Action, Drame, Guerre",112,France,48528,2.4,3.2,181942.0,5600000.0,21.48,15.48,17.58,17.32,16.02,Autumn,False,0.0,0.0,0,258.0
2379,Comédie dramatique,85,France,49046,3.4,3.5,319078.0,0.0,23.31,18.23,22.06,23.42,21.82,Summer,True,0.0,0.0,0,207.0
2380,"Action, Drame, Thriller",105,U.S.A.,253128,2.0,2.8,1358936.0,17000000.0,6.2,8.01,9.1,4.18,8.73,Winter,False,0.33,0.0,0,142.0
2381,Drame,140,France,150754,3.0,2.8,1199839.0,25000000.0,19.17,19.56,18.15,18.15,19.01,Spring,False,0.33,0.0,0,24.0
