,duration,nationality,box_office_first_week,views,budget,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
99,136,U.S.A.,142412,189094.0,40000000.0,Spring,False,1,0,0,243.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,116,France,338929,906686.0,0.0,Autumn,False,2,0,0,150.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,169,U.S.A.,1071360,2356624.0,165000000.0,Autumn,False,2,1,1,183.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,103,U.S.A.,155555,64027.0,18000000.0,Spring,False,1,0,0,154.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,138,Belgique,278,3391.0,7492030.0,Summer,False,0,0,0,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,122,Japon,181032,63363.0,0.0,Spring,True,0,0,0,83.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,100,France,456751,137676.0,0.0,Winter,False,1,0,0,124.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
106,103,France,427391,162516.0,13700000.0,Spring,False,1,1,1,124.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
107,130,U.S.A.,288777,1391794.0,23000000.0,Winter,False,2,0,0,258.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,149,Suède,179786,498125.0,15600000.0,Autumn,False,1,0,0,86.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,103,France,250306,692756.0,0.0,Autumn,False,0,0,0,139.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,95,France,222130,106287.0,5950000.0,Winter,True,1,0,0,142.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,118,France,209564,814861.0,7950000.0,Spring,False,1,0,0,150.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,113,France,101776,328097.0,0.0,Summer,True,1,1,0,156.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,132,U.S.A.,1233768,851416.0,150000000.0,Summer,True,2,0,0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
