title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
grown ups,2010-09-08,Comédie,102,Dennis Dugan,"Fred Wolf, Adam Sandler","Adam Sandler, Kevin James, Chris Rock",U.S.A.,Sony Pictures Releasing France,106 408,"1,4","2,7",843386,80000000.0,Autumn
cloverfield,2008-02-06,"Science fiction, Epouvante-horreur, Thriller",81,Matt Reeves,Drew Goddard,"Michael Stahl-David, Lizzy Caplan, Jessica Lucas",U.S.A.,Paramount Pictures France,410 455,"3,6","3,3",1569702,25000000.0,Winter
violette,2013-11-06,"Biopic, Drame",139,Martin Provost,"Martin Provost, Marc Abdelnour","Emmanuelle Devos, Sandrine Kiberlain, Olivier Gourmet",France,Diaphana Distribution,63 335,"3,5","3,2",123812,0.0,Autumn
"quo vadis, aida?",2021-09-22,"Drame, Guerre, Historique",104,Jasmila Žbanić,Jasmila Žbanić,"Jasna Djuricic, Izudin Bajrovic, Boris Ler",Autres,Condor Distribution,17 087,"3,8","4,2",106800,0.0,Autumn
women talking,2023-03-08,Drame,104,Sarah Polley,Sarah Polley,"Rooney Mara, Claire Foy, Jessie Buckley",U.S.A.,Universal Pictures International France,17 688,"3,3","3,4",28134,0.0,Spring
promising young woman,2021-05-26,"Thriller, Drame, Comédie",108,Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie",U.S.A.,Universal Pictures International France,45 320,"3,3","3,7",101748,0.0,Spring
malignant,2021-09-01,"Epouvante-horreur, Thriller",111,James Wan,Akela Cooper,"Annabelle Wallis, Maddie Hasson, George Young",U.S.A.,Warner Bros. France,69 056,"2,8","2,8",141209,40000000.0,Autumn
the emperor's new groove,2001-03-28,"Animation, Aventure, Comédie",78,Mark Dindal,"David Reynolds, Stephen J. Anderson","David Spade, John Goodman, Patrick Warburton",U.S.A.,Gaumont Buena Vista International (GBVI),329 103,"3,8","3,7",38391,100000000.0,Spring
the magnificent seven,2016-09-28,"Western, Action, Aventure",133,Antoine Fuqua,"Richard Wenk, Nic Pizzolatto","Denzel Washington, Chris Pratt, Ethan Hawke",U.S.A.,Sony Pictures Releasing France,287 584,"2,9","3,7",701389,90000000.0,Autumn
my love affair with marriage,2023-06-07,"Animation, Romance",108,Signe Baumane,Signe Baumane,"Dagmara Dominczyk, Matthew Modine, Michele Pawk",Autres,Tamasa Distribution,402,"3,4","2,9",36023,0.0,Summer
fragile,2021-08-25,"Comédie, Romance",101,Emma Benestan,"Emma Benestan, Nour Ben Salem","Yasin Houicha, Oulaya Amamra, Raphaël Quenard",France,Haut et Court,14 212,"3,1","3,6",53363,0.0,Summer
star wars: the last jedi,2017-12-13,"Science fiction, Action",152,Rian Johnson,Rian Johnson,"Daisy Ridley, John Boyega, Oscar Isaac",U.S.A.,The Walt Disney Company France,2 510 462,"3,6","3,0",1355110,200000000.0,Winter
runaway jury,2004-03-17,"Thriller, Drame",127,Gary Fleder,"Brian Koppelman, David Levien","John Cusack, Rachel Weisz, Dustin Hoffman",U.S.A.,UFD,174 188,"3,7","3,6",51418,60000000.0,Spring
the girl on the train,2016-10-26,Thriller,113,Tate Taylor,Erin Cressida Wilson,"Emily Blunt, Rebecca Ferguson, Haley Bennett",U.S.A.,Metropolitan FilmExport,256 506,"2,4","3,2",483348,45000000.0,Autumn
bienvenue à marly-gomont,2016-06-08,"Drame, Comédie",94,Julien Rambaldi,"Kamini Zantoko, Julien Rambaldi","Marc Zinga, Aïssa Maïga, Bayron Lebli",France,Mars Films,174 046,"3,2","3,7",822657,0.0,Summer
the 5th wave,2016-01-27,"Science fiction, Aventure",112,J Blakeson,"Susannah Grant, Akiva Goldsman","Chloë Grace Moretz, Nick Robinson, Alex Roe",U.S.A.,Sony Pictures Releasing France,428 597,"2,2","2,5",1094866,38000000.0,Winter
xxx : return of xander cage,2017-01-18,"Action, Thriller",107,D.J. Caruso,"F. Scott Frazier, Chad St. John","Vin Diesel, Donnie Yen, Deepika Padukone",U.S.A.,Paramount Pictures France,450 091,"2,3","2,2",800485,85000000.0,Winter
alors on danse,2022-03-16,Comédie,87,Michèle Laroque,"Michèle Laroque, Stéphane Ben Lahcene","Isabelle Nanty, Michèle Laroque, Thierry Lhermitte",France,UGC Distribution,167 617,"1,8","2,1",122012,8300000.0,Spring
the terminal,2004-09-15,"Comédie, Drame, Romance",128,Steven Spielberg,"Jeff Nathanson, Sacha Gervasi","Tom Hanks, Catherine Zeta-Jones, Stanley Tucci",U.S.A.,United International Pictures (UIP),475 798,"3,3","3,8",182309,60000000.0,Autumn
en liberté !,2018-10-31,Comédie,108,Pierre Salvadori,"Pierre Salvadori, Benoît Graffin","Adèle Haenel, Pio Marmaï, Audrey Tautou",France,Memento Distribution,328 195,"4,3","3,0",746077,0.0,Autumn
creed ii,2019-01-09,"Drame, Action",130,Steven Caple Jr.,"Sylvester Stallone, Juel Taylor","Michael B. Jordan, Sylvester Stallone, Tessa Thompson",U.S.A.,Warner Bros. France,832 553,"2,9","3,9",527226,50000000.0,Winter
taken 2,2012-10-03,"Action, Thriller",98,Olivier Megaton,"Luc Besson, Robert Mark Kamen","Liam Neeson, Maggie Grace, Famke Janssen",France,EuropaCorp Distribution,1 231 066,"1,7","2,9",6441010,45000000.0,Autumn
icare,2022-03-30,Animation,76,Carlo Vogele,"Carlo Vogele, Isabelle Andrivet","Camille Cottin, Niels Schneider, Féodor Atkine",Luxembourg,Bac Films,18 155,"3,7","3,8",194438,0.0,Spring
the taking of pelham 1 2 3,2009-07-29,"Thriller, Policier, Action",105,Tony Scott,Brian Helgeland,"Denzel Washington, John Travolta, Luis Guzmán",U.S.A.,Sony Pictures Releasing France,339 891,"2,3","2,6",446433,100000000.0,Summer
a tale of shemroon,2023-02-22,Drame,102,Emad Aleebrahim Dehkordi,Emad Aleebrahim Dehkordi,"Iman Sayad Borhani, Payar Allahyari, Masoumeh Beygi",France,Jour2fête,9 284,"3,4","3,2",54629,0.0,Winter
saint amour,2016-03-02,"Comédie, Drame",102,Benoît Delépine,"Gustave Kervern, Benoît Delépine, Gustave Kervern","Gérard Depardieu, Benoît Poelvoorde, Vincent Lacoste",France,Le Pacte,268 187,"3,4","2,9",526468,0.0,Spring
gaston lagaffe,2018-04-04,Comédie,83,Pierre-François Martin-Laval,"Pierre-François Martin-Laval, Mathias Gavarry","Théo Fernandez, Pierre-François Martin-Laval, Arnaud Ducret",France,UGC Distribution,236 756,"2,1","1,6",844722,0.0,Spring
upgrade,2018-10-03,"Science fiction, Thriller",100,Leigh Whannell,Leigh Whannell,"Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson",Australie,Apollo Films,58 943,"3,5","4,0",363086,5000000.0,Autumn
spirit: stallion of the cimarron,2002-10-09,"Animation, Aventure, Famille",83,Kelly Asbury,"Lorna Cook, Michael Lucker, John Fusco","Matt Damon, James Cromwell, Daniel Studi",U.S.A.,United International Pictures (UIP),280 522,"2,5","3,7",71455,80000000.0,Autumn
the cabin in the woods,2012-05-02,"Epouvante-horreur, Thriller",95,Drew Goddard,"Joss Whedon, Drew Goddard","Kristen Connolly, Chris Hemsworth, Anna Hutchison",U.S.A.,Metropolitan FilmExport,154 872,"3,5","2,9",1255805,30000000.0,Spring
the hunger games - mockingjay : part 1,2014-11-19,"Action, Drame, Science fiction",123,Francis Lawrence,"Peter Craig, Danny Strong","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",U.S.A.,Metropolitan FilmExport,1 538 201,"3,0","3,4",887546,125000000.0,Autumn
france,2021-08-25,"Drame, Comédie",130,Bruno Dumont,Bruno Dumont,"Léa Seydoux, Benjamin Biolay, Juliane Köhler",France,ARP Sélection,75 033,"3,3","2,0",250581,0.0,Summer
sheytan vojud nadarad,2021-12-01,Drame,152,Mohammad Rasoulof,Mohammad Rasoulof,"Ehsan Mirhosseini, Shaghayegh Shourian, Kaveh Ahangar",Allemagne,Pyramide Distribution,26 645,"4,1","4,1",73294,0.0,Winter
robots,2005-04-06,"Animation, Aventure, Famille",91,Chris Wedge,"Carlos Saldanha, David Lindsay-Abaire, Lowell Ganz","Ewan McGregor, Halle Berry, Greg Kinnear",U.S.A.,Twentieth Century Fox France,294 261,"3,4","2,9",19117,0.0,Spring
darkest hour,2018-01-03,"Historique, Drame",126,Joe Wright,Anthony McCarten,"Gary Oldman, Kristin Scott Thomas, Ben Mendelsohn",Grande-Bretagne,Universal Pictures International France,218 083,"3,7","4,1",356889,30000000.0,Winter
one day,2011-08-24,"Romance, Drame",108,Lone Scherfig,David Nicholls,"Anne Hathaway, Jim Sturgess, Patricia Clarkson",U.S.A.,SND,130 096,"3,0","3,8",1467754,0.0,Summer
the favourite,2019-02-06,"Historique, Drame",120,Yórgos Lánthimos,"Deborah Dean Davis, Tony McNamara","Olivia Colman, Rachel Weisz, Emma Stone",U.S.A.,Twentieth Century Fox France,166 719,"3,8","3,8",612611,15000000.0,Winter
vortex,2022-04-13,Drame,142,Gaspar Noé,Gaspar Noé,"Françoise Lebrun, Dario Argento, Alex Lutz",France,Wild Bunch Distribution,13 046,"3,9","3,5",42571,0.0,Spring
de rouille et d'os,2012-05-17,Drame,120,Jacques Audiard,"Jacques Audiard, Thomas Bidegain","Marion Cotillard, Matthias Schoenaerts, Armand Verdure",France,UGC Distribution,326 811,"4,3","3,9",3552550,15400000.0,Spring
yves saint-laurent,2014-01-08,"Biopic, Drame",106,Jalil Lespert,"Jalil Lespert, Marie-Pierre Huster","Pierre Niney, Guillaume Gallienne, Charlotte Le Bon",France,SND,554 846,"3,1","3,6",950571,12000000.0,Winter
men,2022-06-08,"Epouvante-horreur, Drame",100,Alex Garland,Alex Garland,"Jessie Buckley, Rory Kinnear, Paapa Essiedu",Grande-Bretagne,Metropolitan FilmExport,37 421,"3,4","2,4",60562,0.0,Summer
ant-man and the wasp,2018-07-18,"Action, Science fiction, Aventure",118,Peyton Reed,"Andrew Barrer, Gabriel Ferrari","Paul Rudd, Evangeline Lilly, Michael Peña",U.S.A.,The Walt Disney Company France,713 011,"3,4","3,6",400623,200000000.0,Summer
the internship,2013-06-26,Comédie,120,Shawn Levy,"Vince Vaughn, Jared Stern","Vince Vaughn, Owen Wilson, Rose Byrne",U.S.A.,Twentieth Century Fox France,154 859,"2,1","2,8",456010,58000000.0,Summer
c'est magnifique !,2022-06-01,"Comédie, Fantastique",97,Clovis Cornillac,"Lilou Fogli, Tristan Schulmann","Clovis Cornillac, Alice Pol, Manon Lemoine",France,"Orange Studio Distribution , UGC Distribution",90 935,"2,9","3,5",136349,0.0,Summer
mid90s,2019-04-24,"Drame, Comédie",84,Jonah Hill,Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges",U.S.A.,Diaphana Distribution,35 723,"3,9","4,0",380389,258158.0,Spring
sous le même toit,2017-04-19,Comédie,93,Dominique Farrugia,"Laurent Turner, Dominique Farrugia","Gilles Lellouche, Louise Bourgoin, Manu Payet",France,EuropaCorp,261 235,"2,8","2,1",521188,0.0,Spring
rouge,2021-08-11,Thriller,86,Farid Bentoumi,"Farid Bentoumi, Samuel Doux","Zita Hanrot, Sami Bouajila, Céline Sallette",France,Ad Vitam,35 011,"3,7","3,5",148540,0.0,Summer
hugo,2011-12-14,"Aventure, Drame, Famille",128,Martin Scorsese,John Logan,"Asa Butterfield, Chloë Grace Moretz, Ben Kingsley",U.S.A.,Metropolitan FilmExport,371 751,"4,1","3,7",2112153,170000000.0,Winter
la nuée,2021-06-16,"Drame, Epouvante-horreur",101,Just Philippot,"Jérôme Genevray, Franck Victor","Suliane Brahim, Sofian Khammes, Marie Narbonne",France,"The Jokers , Capricci",23 596,"3,8","3,2",135518,0.0,Summer
chanson douce,2019-11-27,"Drame, Judiciaire",100,Lucie Borleteau,"Lucie Borleteau, Jérémie Elkaïm","Karin Viard, Leïla Bekhti, Antoine Reinartz",France,StudioCanal,111 704,"3,2","3,1",550090,0.0,Autumn
sur mes lèvres,2001-10-17,"Drame, Judiciaire, Romance",115,Jacques Audiard,"Jacques Audiard, Tonino Benacquista","Emmanuelle Devos, Vincent Cassel, Olivier Gourmet",France,Pathé,187 334,"4,2","3,8",72756,0.0,Autumn
zombieland,2009-11-25,"Comédie, Epouvante-horreur",88,Ruben Fleischer,"Rhett Reese, Paul Wernick","Woody Harrelson, Jesse Eisenberg, Emma Stone",U.S.A.,Sony Pictures Releasing France,152 630,"3,6","3,9",520391,23600000.0,Autumn
star trek,2009-05-06,"Action, Aventure, Science fiction",128,J.J. Abrams,"Alex Kurtzman, Roberto Orci","Chris Pine, Zachary Quinto, Eric Bana",U.S.A.,Paramount Pictures France,433 725,"3,8","3,9",655265,150000000.0,Spring
spiral: from the book of saw,2021-07-21,"Epouvante-horreur, Thriller",93,Darren Lynn Bousman,"Pete Goldfinger, Josh Stolberg","Chris Rock, Max Minghella, Samuel L. Jackson",U.S.A.,Metropolitan FilmExport,33 994,"2,8","2,0",67374,20000000.0,Summer
john carter,2012-03-07,"Science fiction, Aventure, Action",140,Andrew Stanton,"Andrew Stanton, Mark Andrews","Taylor Kitsch, Lynn Collins, Samantha Morton",U.S.A.,The Walt Disney Company France,475 960,"3,1","3,2",4300903,250000000.0,Spring
rise of the guardians,2012-11-28,"Animation, Aventure, Famille",97,Peter Ramsey,David Lindsay-Abaire,"Gaspard Ulliel, Chris Pine, Nolwenn Leroy",U.S.A.,Paramount Pictures France,571 590,"3,4","4,1",4111183,145000000.0,Autumn
maria rêve,2022-09-28,"Comédie, Romance",92,Lauriane Escaffre,"Yvo Muller, Lauriane Escaffre, Yvo Muller","Karin Viard, Grégory Gadebois, Noée Abita",France,UGC Distribution,71 211,"3,3","3,4",129613,0.0,Autumn
mesrine : l'instinct de mort,2008-10-22,"Biopic, Policier, Drame",113,Jean-François Richet,"Abdel Raouf Dafri, Jean-François Richet","Vincent Cassel, Cécile de France, Gérard Depardieu",Canada,Pathé,769 242,"4,0","4,0",309063,0.0,Autumn
thor: ragnarok,2017-10-25,"Action, Fantastique",131,Taika Waititi,Eric Pearson,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett",U.S.A.,The Walt Disney Company France,1 140 386,"3,4","3,9",696791,180000000.0,Autumn
broken flowers,2005-09-07,Comédie,105,Jim Jarmusch,Jim Jarmusch,"Bill Murray, Jeffrey Wright, Sharon Stone",U.S.A.,Bac Films,366 013,"4,1","3,3",122318,10000000.0,Autumn
central intelligence,2016-08-24,"Action, Comédie",107,Rawson Marshall Thurber,"Rawson Marshall Thurber, Ike Barinholtz","Dwayne Johnson, Kevin Hart, Amy Ryan",U.S.A.,Universal Pictures International France,250 737,"2,3","3,1",467594,50000000.0,Summer
the reader,2009-07-15,Drame,123,Stephen Daldry,David Hare,"Kate Winslet, Ralph Fiennes, David Kross",U.S.A.,SND,227 454,"3,0","4,0",625916,32000000.0,Summer
white boy rick,2019-01-02,"Drame, Policier",111,Yann Demange,"Logan Miller (II), Noah Miller","Matthew McConaughey, Richie Merritt, Bel Powley",U.S.A.,Sony Pictures Releasing France,59 772,"3,2","3,5",259294,29000000.0,Winter
sous les jupes des filles,2014-06-04,Comédie,116,Audrey Dana,"Audrey Dana, Murielle Magellan","Isabelle Adjani, Vanessa Paradis, Sylvie Testud",France,Wild Bunch Distribution,401 687,"2,3","2,6",1513582,5000000.0,Summer
noah,2014-04-09,"Fantastique, Péplum, Aventure",138,Darren Aronofsky,"Darren Aronofsky, Ari Handel","Russell Crowe, Jennifer Connelly, Emma Watson",U.S.A.,Paramount Pictures France,559 723,"3,0","2,6",1161188,125000000.0,Spring
the sum of all fears,2002-07-24,Thriller,124,Phil Alden Robinson,"Paul Attanasio, Daniel Pyne","Ben Affleck, Morgan Freeman, Ciarán Hinds",U.S.A.,United International Pictures (UIP),272 609,"2,5","2,6",64457,68000000.0,Summer
débarquement immédiat,2016-07-13,Comédie,91,Philippe de Chauveron,Philippe de Chauveron,"Ary Abittan, Medi Sadoun, Cyril Lecomte",France,UGC Distribution,199 812,"2,4","2,3",701469,0.0,Summer
de battre mon coeur s'est arrêté,2005-03-16,Drame,107,Jacques Audiard,"Jacques Audiard, Tonino Benacquista","Romain Duris, Niels Arestrup, Emmanuelle Devos",France,UGC,288 919,"4,5","3,7",307513,6400000.0,Spring
adore,2013-04-03,Drame,112,Anne Fontaine,Christopher Hampton,"Naomi Watts, Robin Wright, Xavier Samuel",France,Gaumont Distribution,111 058,"3,1","3,3",802209,16000000.0,Spring
der untergang,2005-01-05,"Drame, Historique, Biopic",156,Oliver Hirschbiegel,Bernd Eichinger,"Bruno Ganz, Alexandra Maria Lara, Rolf Kanies",Allemagne,TFM Distribution,210 915,"3,5","4,0",271525,18339750.0,Winter
mud,2013-05-01,Drame,130,Jeff Nichols,Jeff Nichols,"Matthew McConaughey, Reese Witherspoon, Tye Sheridan",U.S.A.,Ad Vitam,193 623,"4,1","4,1",629180,10000000.0,Spring
the 355,2022-01-05,"Action, Espionnage, Thriller",123,Simon Kinberg,"Theresa Rebeck, Simon Kinberg","Jessica Chastain, Penélope Cruz, Bingbing Fan",U.S.A.,SND,120 131,"2,8","2,7",158903,75000000.0,Winter
el orfanato,2008-03-05,"Fantastique, Drame, Epouvante-horreur",106,Juan Antonio Bayona,Sergio G. Sánchez,"Belén Rueda, Fernando Cayo, Roger Príncep",Espagne,Wild Bunch Distribution,84 293,"3,4","3,6",351444,3400000.0,Spring
tolkien,2019-06-19,"Biopic, Drame",112,Dome Karukoski,"David Gleeson, Stephen Beresford","Nicholas Hoult, Lily Collins, Colm Meaney",Grande-Bretagne,Twentieth Century Fox France,50 896,"2,9","3,7",394182,20000000.0,Summer
the punisher,2004-06-09,Action,124,Jonathan Hensleigh,"Jonathan Hensleigh, Michael France","Thomas Jane, John Travolta, Rebecca Romijn",U.S.A.,Columbia TriStar Films,106 165,"2,9","2,3",126744,33000000.0,Summer
harry potter and the half-blood prince,2009-07-15,"Fantastique, Aventure",152,David Yates,Steve Kloves,"Daniel Radcliffe, Rupert Grint, Emma Watson",U.S.A.,Warner Bros. France,2 882 397,"3,6","3,7",2061949,250000000.0,Summer
escape plan,2013-11-13,"Thriller, Action",116,Mikael Hafstrom,"Jason Keller, Miles Chapman","Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel",U.S.A.,SND,196 671,"1,6","3,4",1081628,50000000.0,Autumn
marie-antoinette,2006-05-24,"Historique, Biopic, Drame",123,Sofia Coppola,Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Rip Torn",France,Pathé,403 555,"4,1","3,3",495535,40000000.0,Spring
bad boys for life,2020-01-22,"Action, Comédie",124,Adil El Arbi,"Bilall Fallah, Chris Bremner, Joe Carnahan","Will Smith, Martin Lawrence, Vanessa Hudgens",U.S.A.,Sony Pictures Releasing France,651 309,"2,4","3,3",426130,90000000.0,Winter
l'esquive,2004-01-07,Comédie dramatique,117,Abdellatif Kechiche,"Ghalia Lacroix, Abdellatif Kechiche","Osman Elkharraz, Sara Forestier, Sabrina Ouazani",France,Rezo Films,47 797,"4,7","2,8",166326,0.0,Winter
numéro 9,2009-08-19,"Animation, Aventure, Fantastique, Science fiction",80,Shane Acker,"Pamela Pettler, Shane Acker","Elijah Wood, Jennifer Connelly, Christopher Plummer",U.S.A.,SND,213 882,"3,7","3,4",479604,0.0,Summer
bienvenue à bord,2011-10-05,Comédie,90,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Franck Dubosc, Valérie Lemercier, Gérard Darmon",France,Pathé,549 947,"1,7","2,5",2521817,12000000.0,Autumn
bridge of spies,2015-12-02,"Thriller, Drame, Historique, Espionnage",132,Steven Spielberg,"Matt Charman, Joel Coen","Tom Hanks, Mark Rylance, Scott Shepherd (II)",U.S.A.,Twentieth Century Fox France,289 000,"3,9","4,0",483975,40000000.0,Winter
joyeuse retraite 2,2022-07-20,Comédie,92,Fabrice Bracq,Fabrice Bracq,"Michèle Laroque, Thierry Lhermitte, Constance Labbé",France,SND,155 491,"1,4","1,9",140701,0.0,Summer
la belle et la bête,2014-02-12,"Fantastique, Romance",114,Christophe Gans,"Christophe Gans, Sandra Vo-Anh","Vincent Cassel, Léa Seydoux, André Dussollier",France,Pathé,658 553,"3,1","2,9",1438811,33000000.0,Winter
j'adore ce que vous faites,2022-05-18,Comédie,91,Philippe Guillard,Philippe Guillard,"Gérard Lanvin,  Artus, Antoine Bertrand",France,Gaumont Distribution,72 462,"2,8","2,4",109715,0.0,Spring
à mon âge je me cache encore pour fumer,2017-04-26,Drame,90,Rayhana, Rayhana,"Hiam Abbass, Fadila Belkebla, Nadia Kaci",France,Les Films du Losange,15 532,"3,3","3,9",244932,0.0,Spring
oss 117 : rio ne répond plus,2009-04-15,"Comédie, Espionnage",100,Michel Hazanavicius,"Jean-François Halin, Michel Hazanavicius","Jean Dujardin, Louise Monot, Rüdiger Vogler",France,Gaumont Distribution,1 090 269,"4,1","3,7",1094912,31165200.0,Spring
side effects,2013-04-03,"Policier, Drame",106,Steven Soderbergh,Scott Z. Burns,"Rooney Mara, Channing Tatum, Jude Law",U.S.A.,ARP Sélection,198 310,"3,6","3,6",512175,30000000.0,Spring
the illusionist,2007-01-17,"Drame, Thriller, Fantastique",110,Neil Burger,Neil Burger,"Edward Norton, Paul Giamatti, Jessica Biel",U.S.A.,Metropolitan FilmExport,142 608,"3,0","3,8",473806,16500000.0,Winter
avant l’effondrement,2023-04-19,Comédie dramatique,100,Alice Zeniter,"Benoît Volnais, Alice Zeniter, Benoît Volnais","Niels Schneider, Ariane Labed, Souheila Yacoub",France,Pyramide Distribution,11 869,"3,1","3,0",96712,2400000.0,Spring
drag me to hell,2009-05-27,Epouvante-horreur,99,Sam Raimi,"Sam Raimi, Ivan Raimi","Alison Lohman, Justin Long, Lorna Raver",U.S.A.,Metropolitan FilmExport,209 248,"3,8","3,4",632340,30000000.0,Spring
ima,2022-05-11,"Comédie, Romance",90,Nils Tavernier,"Laurent Bertoni, Nils Tavernier"," Dadju, Karidja Touré,  Djimo",France,Pathé Live,43 862,"2,8","2,3",64456,590549.0,Spring
coexister,2017-10-11,Comédie,90,Fabrice Eboué,Fabrice Eboué,"Fabrice Eboué, Audrey Lamy, Ramzy Bedia",France,EuropaCorp Distribution,243 818,"3,3","2,9",566364,0.0,Autumn
the program,2015-09-16,"Biopic, Drame",103,Stephen Frears,John Hodge,"Ben Foster, Chris O'Dowd, Guillaume Canet",Grande-Bretagne,StudioCanal,55 064,"3,6","3,5",225192,0.0,Autumn
wind river,2017-08-30,"Thriller, Drame",107,Taylor Sheridan,Taylor Sheridan,"Jeremy Renner, Elizabeth Olsen, Kelsey Asbille",U.S.A.,Metropolitan FilmExport,105 709,"3,5","4,0",519672,11000000.0,Summer
the babadook,2014-07-30,"Epouvante-horreur, Thriller, Drame",94,Jennifer Kent,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall",Australie,Wild Bunch Distribution,79 257,"3,5","2,8",387658,2000000.0,Summer
les promesses,2022-01-26,Drame,98,Thomas Kruithof,"Thomas Kruithof, Jean-Baptiste Delafon","Isabelle Huppert, Reda Kateb, Naidra Ayadi",France,Wild Bunch Distribution,130 294,"3,7","3,8",67956,0.0,Winter
the amityville horror,2005-06-22,Epouvante-horreur,89,Andrew Douglas,"Sandor Stern, Scott Kosar","Ryan Reynolds, Melissa George, Jesse James",U.S.A.,Twentieth Century Fox France,242 068,"2,4","2,3",63995,19000000.0,Summer
charlie's angels,2019-12-25,"Action, Comédie",119,Elizabeth Banks,"Elizabeth Banks, Evan Spiliotopoulos","Kristen Stewart, Naomi Scott, Ella Balinska",U.S.A.,Sony Pictures Releasing France,138 428,"2,4","2,2",177141,92000000.0,Winter
the polar express,2004-12-01,"Animation, Aventure, Famille",99,Robert Zemeckis,"William Broyles Jr., Robert Zemeckis","Tom Hanks, Leslie Harter Zemeckis, Eddie Deezen",U.S.A.,Warner Bros.,278 455,"3,2","3,5",228743,165000000.0,Winter
le nom des gens,2010-11-24,Comédie,104,Michel Leclerc,"Michel Leclerc, Baya Kasmi","Jacques Gamblin, Sara Forestier, Zinedine Soualem",France,UGC Distribution,195 141,"3,7","3,8",1141507,4600000.0,Autumn
les vétos,2020-01-01,"Drame, Comédie",92,Julie Manoukian,Julie Manoukian,"Clovis Cornillac, Noémie Schmidt, Carole Franck",France,UGC Distribution,248 480,"3,1","3,2",579948,0.0,Winter
the bourne identity,2002-09-25,"Action, Thriller, Espionnage",118,Doug Liman,"Tony Gilroy, William Blake Herron","Matt Damon, Franka Potente, Chris Cooper",U.S.A.,United International Pictures (UIP),391 761,"3,5","4,0",135194,60000000.0,Autumn
scream 4,2011-04-13,"Epouvante-horreur, Thriller",110,Wes Craven,Kevin Williamson,"Neve Campbell, David Arquette, Courteney Cox",U.S.A.,SND,533 026,"3,3","3,0",3255545,40000000.0,Spring
pourquoi j'ai pas mangé mon père,2015-04-08,"Animation, Famille, Comédie",95,Jamel Debbouze,"Jamel Debbouze, Fred Fougea","Jamel Debbouze, Jamel Debbouze, Mélissa Theuriau",France,Pathé,656 119,"3,1","2,0",1200712,37580800.0,Spring
good time,2017-09-13,"Thriller, Policier",101,Benny Safdie,"Josh Safdie, Ronald Bronstein, Josh Safdie","Robert Pattinson, Benny Safdie, Buddy Duress",U.S.A.,Ad Vitam,65 381,"3,7","3,5",297332,0.0,Autumn
the wolverine,2013-07-24,"Action, Fantastique",126,James Mangold,"Scott Frank, Mark Bomback","Hugh Jackman, Tao Okamoto, Rila Fukushima",U.S.A.,Twentieth Century Fox France,1 029 033,"2,5","3,2",2756929,120000000.0,Summer
cars 2,2011-07-27,Animation,112,Brad Lewis,"John Lasseter, Ben Queen, Dan Fogelman","Guillaume Canet, Owen Wilson, Gilles Lellouche",U.S.A.,The Walt Disney Company France,1 047 200,"2,6","3,3",3229108,200000000.0,Summer
les clefs de bagnole,2003-12-10,Comédie,94,Laurent Baffie,Laurent Baffie,"Constantin Alexandrov, Laurent Baffie, Daniel Russo",France,Rezo Films,101 764,"3,2","2,0",81398,3500000.0,Winter
j'ai tué ma mère,2009-07-15,Drame,100,Xavier Dolan,Xavier Dolan,"Xavier Dolan, Anne Dorval, Suzanne Clément",Canada,Rezo Films,18 082,"3,5","3,8",238389,0.0,Summer
blue bayou,2021-09-15,Drame,118,Justin Chon,Justin Chon,"Justin Chon, Alicia Vikander, Sydney Kowalske",U.S.A.,Universal Pictures International France,7 783,"2,7","4,0",19564,0.0,Autumn
l'outsider,2016-06-22,Thriller,117,Christophe Barratier,"Christophe Barratier, Laurent Turner","Arthur Dupont, François-Xavier Demaison, Sabrina Ouazani",France,Le Pacte,131 568,"3,5","3,9",917570,0.0,Summer
enchanted,2007-11-28,"Animation, Aventure",108,Kevin Lima,Bill Kelly,"Amy Adams, Patrick Dempsey, James Marsden",U.S.A.,The Walt Disney Company France,702 718,"3,4","3,3",1426563,85000000.0,Autumn
valkyrie,2009-01-28,"Historique, Drame, Thriller",110,Bryan Singer,"Christopher McQuarrie, Nathan Alexander","Tom Cruise, Carice van Houten, Bill Nighy",U.S.A.,TFM Distribution,324 090,"3,3","3,7",627425,75000000.0,Winter
scott pilgrim vs. the world,2010-12-01,"Aventure, Comédie, Fantastique",112,Edgar Wright,"Edgar Wright, Michael Bacall","Michael Cera, Mary Elizabeth Winstead, Jason Schwartzman",U.S.A.,Universal Pictures International France,16 811,"3,4","3,8",526064,85000000.0,Winter
swimming pool,2003-05-21,"Thriller, Drame",102,François Ozon,"François Ozon, Emmanuèle Bernheim","Charlotte Rampling, Ludivine Sagnier, Charles Dance",France,Mars Distribution,297 591,"3,4","2,6",81628,7800000.0,Spring
