,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
62,"epouvante-horreur,fantastique",97,U.S.A.,235926,3.1,2.9,118122.0,15000000.0,12.87,9.7,14.52,13.36,10.79,Spring,True,0.0,0.0,0,258.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,drame,122,U.S.A.,1576425,4.1,4.4,1095425.0,55000000.0,21.48,15.48,17.58,17.32,16.02,Autumn,False,0.67,0.0,0,184.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"drame,thriller",128,Turquie,45633,3.7,3.9,133500.0,0.0,14.48,11.15,15.9,14.83,13.54,Spring,True,0.0,0.0,0,76.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,thriller,97,France,337525,3.2,3.8,872504.0,0.0,8.99,4.93,10.38,10.59,7.03,Spring,False,0.67,0.0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,comédie dramatique,98,France,298308,3.5,3.9,214620.0,0.0,11.33,10.05,12.91,11.87,10.8,Spring,False,0.33,0.0,0,142.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,drame,81,Portugal,298,2.9,2.1,2746.0,0.0,21.36,17.9,21.61,20.88,20.43,Summer,False,0.0,0.0,0,30.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,epouvante-horreur,102,U.S.A.,193688,3.2,3.5,2472418.0,1500000.0,18.44,16.68,16.44,18.58,16.48,Summer,False,0.0,0.0,0,134.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,comédie dramatique,100,France,279606,3.6,4.0,96517.0,5180000.0,11.33,10.05,12.91,11.87,10.8,Spring,False,0.33,0.0,0,184.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,epouvante-horreur,122,U.S.A.,464821,2.4,3.1,307849.0,35000000.0,10.44,6.41,12.82,10.73,12.23,Spring,False,0.0,0.0,0,107.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,drame,98,France,27639,3.8,3.2,113381.0,0.0,4.54,3.35,4.17,2.44,3.75,Spring,True,0.0,0.0,0,127.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"action,comédie,drame,science fiction,arts martiaux",139,U.S.A.,132121,3.9,3.5,310040.0,25000000.0,24.21,19.06,21.64,23.97,21.39,Summer,True,0.0,0.0,0,2.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,"romance,drame",135,U.S.A.,242663,3.7,3.8,683153.0,40000000.0,4.99,5.32,7.15,4.53,6.97,Winter,True,0.33,0.0,0,154.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
