title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
Vive la France,20 février 2013,Comédie,1h 37min,Michaël Youn,"Michaël Youn, Dominique Gauriaud","José Garcia, Michaël Youn, Isabelle Funaro",None,France,Gaumont Distribution,Box Office France,"['13 au 20 février 2013', '20 au 27 février 2013']",19 809,464 280,"1,8","2,1",1206709
Captain America: The First Avenger,17 août 2011,"Action, Aventure, Science fiction",2h 04min,Joe Johnston,"Christopher Markus, Stephen McFeely","Chris Evans, Hayley Atwell, Sebastian Stan",à partir de 8 ans (children's film),U.S.A.,Paramount Pictures France,Box Office France,"['17 au 24 août 2011', '24 au 31 août 2011']",444 480,285 501,"3,3","3,5",1791048
Rango,23 mars 2011,"Animation, Aventure, Action",1h 47min,Gore Verbinski,"John Logan, Gore Verbinski","Bruno Choël, Johnny Depp, Adeline Moreau",à partir de 8 ans (children's film),U.S.A.,Paramount Pictures France,Box Office France,"['23 au 30 mars 2011', '30 mars au 6 avril 2011']",519 450,316 041,"3,4","3,6",2660403
Les Lyonnais,30 novembre 2011,Policier,1h 42min,Olivier Marchal,"Olivier Marchal, Edgar Marie","Gérard Lanvin, Tchéky Karyo, Daniel Duval",Interdit aux moins de 12 ans,France,Gaumont Distribution,Box Office France,"['23 au 30 novembre 2011', '30 novembre au 7 décembre 2011']",75 885,460 207,"2,8","3,7",2511094
Triple 9,16 mars 2016,"Thriller, Action",1h 55min,John Hillcoat,Matt Cook,"Casey Affleck, Anthony Mackie, Kate Winslet",Interdit aux moins de 12 ans avec avertissement,U.S.A.,Mars Films,Box Office France,"['16 au 23 mars 2016', '23 au 30 mars 2016']",163 624,77 214,"3,7","3,3",590900
The Golden Compass,5 décembre 2007,"Fantastique, Aventure, Drame, Science fiction, Action",1h 53min,Chris Weitz,Chris Weitz,"Nicole Kidman, Daniel Craig, Dakota Blue Richards",à partir de 8 ans (children's film),U.S.A.,Metropolitan FilmExport,Box Office France,"['05 au 12 décembre 2007', '12 au 19 décembre 2007']",769 581,488 334,"2,6","2,8",1213298
Eastern Promises,7 novembre 2007,Thriller,1h 40min,David Cronenberg,Steven Knight,"Viggo Mortensen, Naomi Watts, Vincent Cassel",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,Box Office France,"['07 au 14 novembre 2007', '14 au 21 novembre 2007']",309 843,188 877,"4,2","4,0",516718
Ricky,11 février 2009,"Comédie dramatique, Fantastique",1h 29min,François Ozon,François Ozon,"Alexandra Lamy, Sergi López, Mélusine Mayance",None,France,Le Pacte,Box Office France,"['11 au 18 février 2009', '18 au 25 février 2009']",135 612,51 507,"3,7","2,1",435644
Toy Story,27 mars 1996,"Animation, Comédie, Famille",1h 17min,John Lasseter,"John Lasseter, Andrew Stanton","Richard Darbois, Tim Allen, Jacques Ferrière",à partir de 6 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office US,"['02 au 5 octobre 2009', '09 au 12 octobre 2009']",12 491 789,7 766 643,"4,0","4,3",405743
Love Actually,3 décembre 2003,"Romance, Comédie",2h 10min,Richard Curtis,Richard Curtis,"Hugh Grant, Liam Neeson, Martine McCutcheon",None,Grande-Bretagne,Mars Distribution,Box Office France,"['03 au 10 décembre 2003', '10 au 17 décembre 2003']",290 429,213 057,"3,0","3,8",401033
Invictus,13 janvier 2010,"Drame, Biopic, Historique",2h 12min,Clint Eastwood,Anthony Peckham,"Morgan Freeman, Matt Damon, Tony Kgoroge",None,U.S.A.,Warner Bros. France,Box Office France,"['13 au 20 janvier 2010', '20 au 27 janvier 2010']",866 723,663 868,"4,1","4,1",1021905
Pamfir,2 novembre 2022,Drame,1h 42min,Dmytro Sukholytkyy-Sobchuk,Dmytro Sukholytkyy-Sobchuk,"Oleksandr Yatsentyuk, Stanislav Potiak, Solomiya Kyrylova","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Ukraine,Condor Distribution,Box Office France,"['02 au 9 novembre 2022', '09 au 16 novembre 2022']",17 829,10 329,"3,8","3,9",117301
Puss in Boots,30 novembre 2011,"Animation, Aventure, Comédie",1h 30min,Chris Miller (LX),Tom Wheeler,"Boris Rehlinger, Antonio Banderas, Virginie Efira",à partir de 6 ans (children's film),U.S.A.,Paramount Pictures France,Box Office France,"['30 novembre au 7 décembre 2011', '07 au 14 décembre 2011']",1 089 789,658 623,"3,1","3,4",1950933
Spider-Man: Far From Home,3 juillet 2019,"Action, Aventure",2h 10min,Jon Watts,"Chris McKenna, Erik Sommers","Tom Holland, Jake Gyllenhaal,  Zendaya",None,U.S.A.,Sony Pictures Releasing France,Box Office France,"['10 au 17 juillet 2019', '17 au 24 juillet 2019']",630 649,370 847,"3,2","3,8",716923
La stanza del figlio,18 mai 2001,Drame,1h 39min,Nanni Moretti,"Linda Ferri, Nanni Moretti","Nanni Moretti, Laura Morante, Jasmine Trinca",None,Italie,Bac Films,Box Office France,"['16 au 23 mai 2001', '23 au 30 mai 2001']",75 985,158 292,"4,4","3,8",32528
Ocean's 8,13 juin 2018,"Comédie, Policier",1h 50min,Gary Ross,"Olivia Milch, Gary Ross","Sandra Bullock, Cate Blanchett, Anne Hathaway",None,U.S.A.,Warner Bros. France,Box Office France,"['13 au 20 juin 2018', '20 au 27 juin 2018']",318 773,172 837,"2,7","2,9",571802
