title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
Terminator Genisys,1 juillet 2015,"Action, Science fiction",2h 06min,Alan Taylor,"Laeta Kalogridis, Patrick Lussier","Arnold Schwarzenegger, Emilia Clarke, Jai Courtney","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Paramount Pictures France,Box Office France,666495,"2,4","3,0",56133
C'est quoi cette mamie ?!,7 août 2019,Comédie,1h 39min,Gabriel Julien-Laferrière,"Gabriel Julien-Laferrière, Sébastien Mounier","Chantal Ladesou, Julie Gayet, Thierry Neuvic",à partir de 10 ans (children's film),France,UGC Distribution,Box Office France,425378,"2,5","2,5",911520
La Guerre est déclarée,31 août 2011,Drame,1h 40min,Valérie Donzelli,"Valérie Donzelli, Jérémie Elkaïm","Valérie Donzelli, Jérémie Elkaïm, Elina Löwensohn",,France,Wild Bunch Distribution,Box Office France,4391,"4,4","3,8",1814988
Don't Breathe 2,25 août 2021,"Epouvante-horreur, Thriller",1h 39min,Rodolfo Sayagues,"Fede Alvarez, Rodolfo Sayagues","Stephen Lang, Madelyn Grace, Brendan Sexton III",Interdit aux moins de 16 ans,U.S.A.,Sony Pictures Releasing France,Box Office France,58266,"3,0","2,7",43161
L'Autre continent,5 juin 2019,"Romance, Drame",1h 30min,Romain Cogitore,,"Déborah François, Paul Hamy, Vincent Perez",,France,Dulac Distribution,Box Office France,12476,"3,3","3,5",251092
The Fighter,9 mars 2011,"Biopic, Drame",1h 53min,David O. Russell,"Scott Silver, Eric Johnson (III)","Mark Wahlberg, Christian Bale, Amy Adams",,U.S.A.,Metropolitan FilmExport,Box Office France,137534,"3,9","4,1",2472418
The Program,16 septembre 2015,"Biopic, Drame",1h 43min,Stephen Frears,John Hodge,"Ben Foster, Chris O'Dowd, Guillaume Canet",,Grande-Bretagne,StudioCanal,Box Office France,55064,"3,6","3,5",225094
Dracula Untold,1 octobre 2014,"Action, Fantastique, Epouvante-horreur",1h 32min,Gary Shore,"Matt Sazama, Burk Sharpless","Luke Evans, Sarah Gadon, Dominic Cooper","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Universal Pictures International France,Box Office France,313301,"2,2","3,1",616445
Upside Down,1 mai 2013,"Science fiction, Romance, Thriller",1h 49min,Juan Solanas,Juan Solanas,"Jim Sturgess, Kirsten Dunst, Timothy Spall",,Canada,Warner Bros. France,Box Office France,140000,"2,1","3,2",860061
"Va, vis et deviens",30 mars 2005,Drame,2h 20min,Radu Mihaileanu,"Alain-Michel Blanc, Radu Mihaileanu","Yaël Abecassis, Roschdy Zem, Moshe Agazai",,France,Les Films du Losange,Box Office France,67555,"4,0","4,0",172673
I Feel Pretty,,Comédie,1h 50min,Abby Kohn,"Marc Silverstein, Abby Kohn, Marc Silverstein","Amy Schumer, Michelle Williams, Rory Scovel",,U.S.A.,Netflix France,Box Office US,16030218,"3,1",--,43688
The Danish Girl,20 janvier 2016,"Drame, Biopic",1h 59min,Tom Hooper,Lucinda Coxon,"Eddie Redmayne, Alicia Vikander, Ben Whishaw",,U.S.A.,Universal Pictures International France,Box Office France,118481,"2,7","4,0",946501
La Délicatesse,21 décembre 2011,"Romance, Comédie",1h 48min,David Foenkinos,"Stéphane Foenkinos, David Foenkinos","Audrey Tautou, François Damiens, Bruno Todeschini",,France,StudioCanal,Box Office France,222101,"2,5","3,4",2212382
Ocean's Thirteen,20 juin 2007,"Policier, Comédie dramatique, Comédie, Thriller",2h 02min,Steven Soderbergh,"Brian Koppelman, David Levien","George Clooney, Brad Pitt, Matt Damon",,U.S.A.,Warner Bros. France,Box Office France,871826,"2,4","3,2",1576374
Into the Storm,13 août 2014,"Thriller, Action",1h 29min,Steven Quale,John Swetnam,"Richard Armitage, Sarah Wayne Callies, Max Deacon",,U.S.A.,Warner Bros. France,Box Office France,8110,"2,9","2,4",1265025
I Am Number Four,6 avril 2011,"Science fiction, Action",1h 51min,D.J. Caruso,"Alfred Gough, Miles Millar","Alex Pettyfer, Timothy Olyphant, Teresa Palmer",,U.S.A.,The Walt Disney Company France,Box Office France,259311,"1,9","3,0",2735083
Safe House,22 février 2012,"Thriller, Action",1h 56min,Daniel Espinosa,David Guggenheim,"Denzel Washington, Ryan Reynolds, Vera Farmiga","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Universal Pictures International France,Box Office France,326572,"2,7","3,3",1467128
The Judge,22 octobre 2014,Drame,2h 21min,David Dobkin,"Nick Schenk, Bill Dubuque","Robert Downey Jr., Robert Duvall, Billy Bob Thornton",,U.S.A.,Warner Bros. France,Box Office France,82344,"2,6","4,0",248962
Death Race,15 octobre 2008,"Action, Science fiction",1h 45min,Paul W.S. Anderson,Paul W.S. Anderson,"Jason Statham, Tyrese Gibson, Joan Allen",,U.S.A.,Universal Pictures International France,Box Office France,95769,"2,2","2,8",506375
Sydney,21 novembre 2018,"Thriller, Drame",1h 42min,Paul Thomas Anderson,Paul Thomas Anderson,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow",,U.S.A.,Splendor Films,Box Office France,918,"3,2","3,5",35640
A Perfect Enemy,29 décembre 2021,Thriller,1h 29min,Kike Maillo,"Cristina Clemente, Fernando Navarro","Tomasz Kot, Athena Strates, Marta Nieto",Interdit aux moins de 12 ans,Espagne,Alba Films,Box Office France,2824,"2,3","2,6",123908
